Input1,Input2,Input3,Input4,Input5,Input6,Output
52,12,2.730363,3.7612,11.96,13,192
74,9,2.737248,2.944439,1.2,24,167
35,10,2.266935,2.56495,31.275,43,76
50,12,2.392753,3.637586,9,17,123
41,12,3.105335,3.295837,0,44.5,148
19,12,3.760884,3.367296,15.69,32,20
19,12,3.155609,3.663562,26,14,40
59,12,3.724682,2.197225,0.338,1,57
49,16,2.861691,3.7612,10,4,49
21,12,2.615077,4.234107,30,7,170
44,12,2.653243,2.772589,18,23,40
81,17,2.139857,3.663562,22,9,127
46,18,2.625683,3.555348,19.5,31,106
52,18,2.767746,1.94591,42,20,168
53,7,2.871242,2.302585,32,35,185
24,12,1.983811,3.135494,25,20,41
43,14,1.260201,3.091043,42,33,106
25,16,2.298178,3.401197,16,9,141
35,12,2.132508,3.332205,0,21,61
43,15,2.000231,3.258096,36,16,159
73,10,2.018375,3.218876,0,45,121
58,14,1.886142,2.639057,28,47,56
51,14,2.953125,1.098612,20,35,34
57,16,2.378481,3.526361,0,46,127
44,19,1.574376,3.555348,2.9,47,135
76,16,2.495514,3.637586,50,13,147
33,16,2.318077,3.7612,0.006,47,94
39,12,2.029045,4.248495,0,31,125
19,12,1.788754,3.610918,25.464,31,79
40,11,2.091107,2.079442,0,19,143
25,12,2.179881,3.555348,9,5,82
73,5,3.724682,3.526361,32,6,57
63,9,2.69706,3.637586,38.5,16,132
22,14,2.236011,3.583519,28,13,173
20,13,2.897865,3.258096,15.875,29,150
74,3,2.088778,2.484907,17.5,7,149
31,15,2.035159,0.6931472,47,24,176
35,13,2.070141,3.433987,30,11,76
26,12,2.037905,3.496508,26,23,134
50,12,1.842809,2.079442,0,14,142
44,19,1.948355,3.135494,3.44,10,68
52,12,2.613621,2.639057,27,23,165
39,12,2.361342,1.609438,0,24,34
30,12,2.731745,1.386294,35.007,31,152
35,12,2.426072,4.356709,20,19,91
27,14,2.613136,3.7612,21.616,29,139
30,12,2.301331,2.197225,0,23,121
57,12,3.640861,1.386294,0,46,8
59,8,2.149818,3.555348,0,17,191
71,8,2.644261,2.302585,30,9,75
81,12,2.274618,1.386294,16.5,16,71
72,10,2.858341,0,9.36,6,123
66,8,2.901806,2.56495,56,15,191
48,12,2.372347,3.828641,75,28,172
38,12,3.9635,3.433987,38,21,142
56,20,2.570568,2.70805,45,31,6
30,14,2.482975,3.135494,38,18,65
22,11,3.17471,1.94591,40,39,163
22,12,2.682774,3.850147,28,19,65
22,11,2.261109,2.197225,52,20,121
21,14,2.128757,3.401197,51,20,184
56,14,3.242764,1.94591,25,17,2
31,19,2.085726,1.386294,6,22,78
44,12,1.63274,3.367296,0,38,135
57,12,2.396504,3.951244,35,12,113
63,4,2.431583,3.367296,32,16,35
23,12,2.699853,3.688879,10.582,24,40
18,11,2.926587,2.890372,0,35,10
21,12,2.703328,3.555348,0,45,61
26,12,2.243415,3.988984,0,5,54
23,11,3.519207,3.78419,30,10,171
20,13,1.780003,2.890372,19.5,21,92
44,7,2.967651,2.197225,16,26,189
53,12,2.255147,1.791759,15.8,42,134
55,12,2.429368,3.401197,24,25,53
25,16,2.71717,1.098612,47,17,25
73,7,2.240332,0,2.5,28,150
45,12,2.211025,4.077538,40,28,134
28,12,2.765051,2.772589,58,41,165
45,16,2.770082,4.060443,0,36,111
44,20,1.68572,3.850147,21.8,26.5,79
42,15,2.612082,3.218876,10.78,40,63
70,12,2.972367,3.951244,2,42,170
29,17,1.897124,2.302585,0,18,160
52,16,2.61139,3.091043,5,20,22
32,13,2.166149,3.401197,0,42,164
56,12,2.619398,2.197225,0,42,192
49,11,2.131941,3.367296,5,26,135
82,10,2.804822,2.833213,0,19,120
32,14,3.347194,3.135494,40,32,20
24,16,2.87237,4.007333,11,47,101
41,12,2.341087,2.397895,7.483,41,78
79,20,3.311067,3.526361,33.648,11,153
46,16,2.298592,3.401197,58,27,122
30,14,2.838406,2.995732,10.172,13,194
33,13,2.489339,3.178054,0,46,106
46,12,2.784179,3.044522,0,46,139
32,12,2.112622,2.56495,0,47.5,165
24,12,2.596721,3.401197,0,17,91
26,12,1.79838,2.397895,37,28,135
71,8,2.823652,1.94591,0,12,51
52,12,3.42199,0,40,28,7
36,12,2.218372,2.302585,40.808,17,105
28,18,2.564673,1.609438,25,8,123
42,12,3.438869,2.197225,0,42,12
40,19,2.153934,2.833213,30,39,52
49,12,2.263556,3.713572,40,34,21
53,12,2.681298,2.639057,60,13,185
42,8,2.598217,3.610918,53,23,21
41,6,2.499044,3.555348,22,20,38
71,7,2.145365,3.931826,31,22,117
52,10,1.788179,1.098612,37,29,103
44,10,2.44072,3.850147,50,19,76
57,12,2.673413,2.772589,47,31,77
57,4,2.205511,3.7612,30.4,15,143
32,11,1.571589,4.189655,18,8,84
77,9,3.112624,3.688879,22,19,30
19,9,2.589188,2.772589,2.6,35,139
32,12,2.135413,2.56495,0,26,182
31,12,2.941602,2.833213,54,21,117
28,10,2.073635,2.197225,22,44.5,61
18,11,2.803644,3.465736,44.44,28,167
78,11,1.918436,2.833213,0,44,38
28,12,2.551189,3.526361,23.12,26,183
26,15,2.105426,2.302585,0,34,68
59,12,2.122961,3.465736,28,10,81
42,12,3.146088,3.135494,67,30,164
66,12,3.093019,1.098612,10,10.5,148
62,10,2.335706,3.871201,2.7,12,121
51,11,1.709617,2.639057,0,19.5,135
37,12,2.931876,3.178054,34.875,44,161
26,11,2.603401,2.944439,28.2,15,143
30,12,2.021504,2.56495,38.715,3,39
31,12,2.807919,3.526361,48,12,187
20,12,1.855316,3.295837,34.8,21,105
48,9,1.581884,4.248495,59,30,120
52,12,2.717921,3.496508,0,21,125
24,15,2.375497,3.970292,55.5,9,120
25,12,2.296849,4.204692,33,10,93
40,12,1.942281,4.204692,26,10,189
42,9,2.600195,2.70805,24.241,16,103
32,12,3.598445,2.772589,30,10,127
34,12,3.273747,3.367296,60,18,175
63,6,2.760482,2.397895,26,19,127
50,7,1.260201,4.025352,29,9,106
33,16,2.551189,1.94591,35,36,183
78,4,2.797977,3.295837,55,33,46
30,8,3.175059,3.828641,3,19,160
72,11,2.160043,3.583519,50,32,39
38,13,3.259544,0,0,46,31
37,12,3.105335,1.098612,0,32,148
60,12,2.369825,3.178054,45,21,62
28,17,2.161144,2.639057,36.7,13,66
51,13,2.295945,2.639057,85,22,119
55,12,2.090272,4.025352,30,34,143
52,12,2.342703,0,14,13,81
35,19,2.259031,0.6931472,28,36,45
26,12,2.240457,3.663562,43,16.5,38
19,11,3.26478,2.833213,25,23,150
29,18,3.747496,3.583519,44,23,33
33,12,3.641059,3.688879,58,21,3
36,12,2.638845,1.098612,37,21,127
49,15,2.131941,3.367296,52,20,135
46,12,2.238161,2.397895,35,18,177
19,12,2.779941,3.78419,40,22,179
68,12,3.496279,3.178054,0,-1,33
51,8,2.001668,1.386294,0,8,77
68,9,2.360039,2.484907,0,44,120
81,8,4.15971,2.302585,99.999,33,4
41,18,2.363389,1.609438,0.75,40,175
57,20,2.209498,3.401197,45,28.5,89
76,12,2.598217,3.73767,0.8,25,21
41,12,1.400891,4.276666,23,42.5,188
59,16,1.886142,1.098612,38,19,56
54,15,2.419944,2.484907,35,30,179
60,12,3.714865,2.197225,44,20,6
25,12,2.213108,3.610918,0,47,48
20,12,1.983078,4.26268,40,38,108
23,10,3.193581,2.639057,7,35.5,38
37,15,2.23772,4.110874,4.2,23,121
72,12,1.958376,3.433987,99.999,27,135
48,16,2.737248,3.135494,30,19,167
21,12,1.814491,3.526361,55,22,93
21,13,3.524638,2.995732,0,35,157
58,8,3.287408,3.401197,65,7,134
87,8,2.13635,3.465736,40,11,68
32,12,1.897124,3.401197,36,22,160
76,8,3.015777,2.639057,42,23,134
21,10,2.55673,4.219508,52,9,186
43,9,2.865805,3.555348,25,46,162
19,11,2.777379,2.397895,0,42,176
35,11,1.819997,1.386294,0,18,104
21,9,2.577157,2.944439,23,18,32
66,16,2.188947,3.951244,0,32,56
54,12,1.933931,3.555348,40,22,157
38,17,2.818669,2.397895,51,24,37
20,13,1.541105,1.386294,65,17,79
44,12,2.194468,0,9,35,41
20,11,2.482975,2.995732,0,47.5,65
60,8,2.859351,3.828641,32,10,53
23,12,2.435933,0,50,15,152
75,8,2.628703,3.871201,20,10.5,154
30,14,2.529806,3.663562,0,11,98
35,6,2.544677,2.70805,0,13,52
75,11,2.526777,3.850147,37,21,120
54,12,2.811421,3.912023,53,12,24
31,10,3.981597,3.526361,20,10,35
54,6,2.164399,2.397895,9.2,4.5,87
30,12,2.398022,2.890372,0,10,139
43,17,3.233626,3.688879,0,36,45
26,15,2.83709,2.772589,30.8,9,77
44,12,2.152076,1.94591,51.576,19,138
23,12,2.435545,2.197225,0,14,171
35,17,2.079967,3.637586,13.347,18,26
37,12,1.110764,4.204692,11.34,8,105
30,17,3.497426,4.127134,57,20,51
30,13,2.550786,3.555348,76.685,35,62
57,10,3.271693,3.73767,0,39,4
54,16,1.471436,4.158883,0,39,81
59,8,1.896196,2.079442,27,16,194
56,13,2.638928,3.78419,7,46,126
28,16,2.317628,2.197225,19,46.5,188
43,10,3.322113,3.610918,10,23,125
42,12,1.528272,4.094345,5,28,46
22,12,2.435933,3.178054,0,34,152
40,9,2.267571,3.688879,5,41,106
66,14,2.387606,1.386294,0,31.5,149
29,12,2.335337,4.077538,59,14,70
44,13,3.103779,2.772589,0,33,182
24,16,2.682774,3.828641,31,44,65
45,9,1.901417,3.433987,0,22.5,135
46,14,1.709617,2.772589,60,23,135
24,9,2.515837,4.077538,45,16,128
29,9,3.189091,3.78419,30,42.5,13
37,12,2.529806,3.688879,45,17,98
22,12,2.562045,3.931826,17,40,87
47,3,2.36064,3.218876,37,7,170
26,16,2.884226,4.219508,35,9,55
51,12,2.355195,4.204692,12,13,118
34,12,4.392753,3.401197,68,16,56
23,12,2.768278,3.295837,66,10,135
54,12,2.962072,2.70805,30,28,131
25,12,2.254961,3.78419,0,18,110
27,16,2.822565,3.295837,29.5,12,98
43,18,2.649147,2.639057,99.999,22,77
23,14,2.057683,3.871201,0,36,29
66,18,2.018375,3.465736,54,28,121
31,17,4.042797,3.828641,40,3,11
50,12,3.31107,2.944439,42,31,12
58,12,3.641059,3.871201,65,29,3
35,12,1.726272,3.988984,14,12,135
42,13,2.583346,3.78419,63,39,55
55,14,4.009251,3.806663,60,25,49
55,9,2.562759,3.89182,0,44,65
32,17,3.376905,3.931826,28,41.5,32
43,17,1.993062,4.204692,43,26,161
25,12,2.775478,2.890372,21,32,100
89,4,1.880121,3.295837,52,24,149
65,12,2.471767,3.637586,36,32,172
25,12,2.370921,2.397895,20,20,106
24,12,1.507601,4.330733,35,11,121
72,8,1.744262,4.060443,28,3,82
56,12,2.976344,3.091043,44,28,49
37,13,2.467465,3.332205,9.999,25,86
24,14,3.941643,2.944439,30,36,14
61,17,3.131061,3.850147,18,17,83
67,16,2.596308,4.189655,27,11,152
50,8,2.741082,1.386294,41.2,28,109
47,12,3.092976,3.828641,52,40,118
71,12,2.40827,2.833213,30,11,73
79,12,2.456266,3.332205,33,18,166
46,12,3.143473,0.6931472,46,29.5,154
83,14,2.837962,2.890372,49,11,191
26,14,2.999929,2.484907,40,8,101
30,15,2.609211,3.73767,7,2,173
71,12,1.808171,3.218876,40,19,179
19,12,1.708917,1.609438,0,39,135
28,16,3.215605,3.688879,10.4,14,103
21,15,2.375497,3.135494,9,20,120
56,14,2.940999,4.007333,20,32,138
22,14,2.034333,3.258096,13,13,37
27,16,2.579682,3.218876,32,6,46
71,12,2.861691,2.197225,65,23,49
32,12,2.819942,4.29046,37,20,186
69,12,1.927065,3.555348,30,36,105
51,18,3.545875,3.871201,0,48,166
38,12,2.61825,1.94591,22,43,116
20,12,2.219562,3.610918,0,46.5,194
69,4,2.014755,2.70805,25,40,136
21,12,2.54776,2.484907,6,10,146
40,14,2.625091,0,22,6,35
24,16,3.555863,2.944439,26,38,65
36,13,3.993335,3.258096,0,26,14
61,12,2.128927,4.189655,0,39.5,188
20,12,2.488819,3.688879,14,23.5,55
30,12,3.536252,3.135494,30.4,10,30
58,5,3.322198,4.219508,0,15,75
31,12,2.265089,0.6931472,17,48,162
48,12,2.465431,4.174387,42,20,58
43,14,3.021085,3.178054,80,22,136
37,12,2.328156,2.197225,45.806,22,150
71,7,2.211634,2.944439,0,40,134
67,8,1.953437,2.302585,31.5,29,190
63,12,2.498737,2.70805,0,44,43
62,12,2.430449,4.077538,32,30,22
72,8,2.80351,3.218876,69,27,158
40,10,2.24401,3.367296,51.5,26,100
23,13,3.211475,2.70805,40,30,101
51,10,1.855636,3.091043,0,42,137
34,12,1.745948,2.890372,40.059,25,137
53,12,2.831192,4.41884,59.381,19,54
69,12,2.577157,3.258096,40,25,32
42,8,2.110153,0,47,25,47
33,5,3.821746,3.433987,90,28,11
58,8,2.264424,2.995732,40,17,155
28,10,2.051683,0,55,32,193
31,16,3.399683,3.465736,38,25,8
24,12,2.601863,2.639057,45,24,75
62,16,2.63695,2.70805,30,32.5,130
54,11,2.36942,3.610918,0,45,91
40,14,2.133355,1.609438,0,14,191
30,10,1.756859,2.56495,0,41.5,114
21,15,2.076937,2.70805,27,39,107
67,12,2.252082,3.713572,0,42,121
30,13,2.075901,3.931826,29.74,24,59
27,12,3.686915,4.060443,80,31,16
31,8,2.063222,1.386294,41,10,80
26,12,2.20872,3.688879,0,37,73
47,7,2.977011,3.465736,34.975,13,132
27,15,2.96933,3.951244,18.076,7.5,182
27,11,3.41376,2.397895,10.2,6,36
20,12,3.414398,3.89182,0,5,57
28,12,1.862013,0,0,3,139
79,15,2.328564,2.079442,40,36,34
26,14,2.849409,3.555348,50,23,23
37,8,2.164399,1.609438,0,12,87
21,12,2.427561,2.890372,0,11,113
43,8,2.166887,3.912023,26,41,37
31,18,2.372347,2.890372,9.9,6,172
34,12,2.779941,2.484907,0,12,179
27,12,1.476311,1.609438,26,25,114
41,11,3.096597,3.970292,0,7,10
59,12,2.894551,2.397895,47,20,151
39,12,2.596372,3.044522,36.56,32,163
34,12,2.633652,3.806663,26,11,26
54,1,1.590952,0,0.4,15,114
48,12,2.342131,3.526361,42,11,172
24,12,1.462192,3.367296,0,28,134
79,16,3.962413,0,52,32,113
48,12,2.348863,2.890372,10,29,41
26,14,2.315017,0,63,45,84
35,13,3.071796,2.70805,12,11,136
37,14,2.499044,3.688879,50.96,20,38
25,12,2.667808,2.995732,30,13,32
25,15,2.433702,4.330733,0,28,23
77,4,2.584183,2.56495,2,47,132
19,12,2.664472,2.944439,0,40,185
19,12,2.255147,2.079442,0,40,134
67,12,3.411648,2.70805,75,22,189
61,12,1.800761,2.302585,99.999,24,115
40,12,2.149818,3.332205,0,22,191
61,9,2.448626,3.555348,99.999,18,190
30,13,2.764708,3.044522,42,36,28
71,12,2.195423,0.6931472,0,18,74
31,12,3.165139,2.302585,6,43,163
34,16,2.993171,4.304065,27,12,9
54,4,2.876443,2.944439,0,18,44
34,15,1.514425,4.219508,39.7,39,101
48,12,2.37673,3.401197,35,16,101
47,10,2.603401,3.555348,17,7,143
52,9,2.155024,4.29046,32,21,68
52,13,2.128927,0,24.289,26,188
49,11,3.153258,2.56495,54.045,10,166
41,12,3.529718,2.772589,25.5,22,48
65,7,2.846047,3.912023,31,14,159
36,14,2.511164,2.56495,17,22.5,45
79,0,2.768278,1.098612,29,15,135
39,14,2.327596,3.637586,0,13,182
72,8,3.931182,3.367296,60.5,22,12
36,18,1.709617,3.044522,33,19,135
24,13,2.329081,3.044522,0,7,77
38,8,3.149388,3.637586,20,40,16
36,12,2.348802,2.772589,0,15,187
66,6,2.356039,4.29046,0.32,37,86
32,8,3.234359,3.970292,9.5,32,33
40,10,2.842924,3.931826,0,38,15
38,13,2.765795,3.688879,0,24,3
41,8,2.645631,3.828641,14.12,13,139
58,7,2.688134,1.386294,19.261,22,122
49,7,3.263454,0,0.4,44,20
24,16,2.338101,0,80,20,145
42,12,2.302847,3.7612,45,36,80
19,12,2.60355,3.218876,13,16,154
38,8,2.616302,2.56495,51,17,29
65,8,3.230487,3.931826,20,13,152
26,12,3.478229,4.060443,0,15,7
35,10,2.98725,4.158883,0,21,182
74,13,2.577157,2.079442,40,32,32
32,15,2.819687,4.204692,36,29,148
25,15,2.927167,0,18.5,20,153
56,13,3.77102,4.248495,34,45,32
28,12,3.066491,4.060443,25,33,42
30,16,3.928189,2.995732,60,17,157
23,11,2.176465,3.912023,0,28,184
32,14,3.093019,3.806663,33,31,148
64,17,2.654532,3.713572,3,29,110
40,4,2.464689,4.025352,25,34,39
80,4,2.127024,0,40,25.5,135
26,17,2.596308,0,40,3,152
42,10,3.186041,3.332205,20,37,1
48,13,3.159368,4.532599,34,14,56
25,13,2.344715,2.56495,57,21,68
71,12,2.358154,2.56495,80,13,192
25,11,2.832484,2.484907,45,20,164
64,12,2.22087,4.204692,23.14,33,92
26,16,2.529806,1.791759,40,34,98
28,19,3.107783,3.912023,0,16,158
43,14,1.629611,4.174387,8.5,44,43
23,12,1.755724,3.688879,22,24,6
62,10,2.475669,2.639057,30,27,180
24,12,2.489139,0,0,35,4
25,12,2.450456,4.025352,2,4,87
26,12,1.860905,3.713572,35,18,143
24,12,2.361342,3.295837,35,31,34
23,12,2.177058,0,15,27,188
70,12,2.702084,2.56495,17,20,72
42,12,1.93052,1.609438,67.6,17,81
26,14,1.413799,3.78419,11,8,175
23,15,2.804822,3.135494,24,14,120
37,15,2.780677,4.394449,0,41,1
22,12,1.993062,4.189655,0,25.5,161
26,13,2.218621,1.791759,23,35,179
24,12,3.02525,4.143135,30,15.5,17
28,6,2.891542,3.465736,21,9,151
22,12,2.990174,2.484907,38,28,49
21,12,3.794055,4.29046,40,25,19
30,17,2.603725,3.713572,53,21,38
62,13,1.782188,2.079442,35,36,53
20,12,3.903536,0,28.6,18,12
20,13,2.30245,2.397895,11,10,172
69,12,1.715654,4.234107,0,34,78
29,17,3.020472,2.397895,19,9,86
26,11,3.946558,4.143135,0,16,17
20,11,2.843777,3.713572,35,27,38
35,14,2.245071,0.6931472,18.624,8,151
56,15,2.486405,2.833213,0,36.5,65
34,13,3.112213,2.484907,22,23,28
25,14,3.601746,0,60,15,11
54,12,2.977011,1.94591,16,3,132
56,18,2.161084,3.258096,15.365,15,150
74,1,2.255899,4.204692,0,7,165
24,11,2.133074,1.94591,35,11,61
43,15,4.637401,2.890372,0,14,10
31,14,2.669288,3.871201,4,41,145
30,16,2.232259,3.663562,30,24,110
30,16,2.625683,4.110874,0,38.5,106
89,11,2.493671,3.044522,0,23,193
25,14,3.93235,3.044522,50,4,164
41,12,2.098627,0,6,15,143
60,8,3.615966,2.079442,9,35,34
26,12,2.784517,2.56495,12,8.5,25
52,10,2.835059,2.890372,20,3,189
37,12,2.272722,3.465736,0,19.5,164
61,12,2.971511,2.833213,40,13,38
79,8,2.837962,2.484907,15.6,4,191
60,16,1.687798,4.007333,22,12,141
54,16,2.606488,2.772589,0,14,106
50,13,2.654532,3.637586,0,35,110
58,6,1.702096,2.639057,29,34,81
65,8,2.971511,2.484907,18.2,41,38
34,6,1.788179,1.386294,50,7,103
33,12,2.372347,2.56495,26.624,29,172
56,9,2.438552,1.791759,22,36.5,189
42,12,2.804546,3.637586,13,17,158
43,12,2.496151,4.110874,22.5,35,139
49,8,3.045177,3.583519,30,18,32
55,12,2.562122,2.197225,13.2,38.5,103
39,7,2.685732,2.197225,0,21,153
39,12,3.019885,2.833213,33,9,85
23,16,5.15648,2.397895,51,28,161
59,14,2.426072,3.7612,70,26,91
29,16,2.331701,2.302585,35,3.5,116
82,12,3.944192,3.73767,62.5,15,19
68,9,2.991326,2.70805,44,36,98
60,8,2.719118,1.386294,48,12,114
84,4,1.840254,3.332205,40,37,126
22,12,4.402526,4.343805,55,46,13
32,11,2.69706,2.772589,99.999,27,132
71,9,3.012212,2.833213,52,14,125
30,18,2.252813,4.158883,70,43,108
50,12,1.905089,3.091043,25,15,59
37,12,2.506418,2.56495,50,24,110
44,16,2.940856,3.465736,40,25,193
41,12,1.05445,4.29046,37,42,120
72,6,3.414398,3.044522,26,27,57
33,8,4.711317,3.091043,29,27,45
38,7,2.158837,4.219508,40,24,92
20,12,2.134726,1.386294,46,13,143
28,12,2.377826,2.995732,99.999,16,112
35,12,2.63033,2.70805,63,7,98
38,10,2.672461,2.772589,30,10,191
27,12,2.255812,1.386294,40,32,183
23,12,2.145535,3.332205,19,21,151
29,12,2.638192,3.367296,9,9,152
23,12,2.198945,2.56495,52,19,64
51,13,3.260886,2.302585,32,17,25
73,8,2.085219,4.248495,68,45,80
23,13,2.240332,3.295837,38,23,150
32,16,3.931182,3.401197,4,8,12
32,13,2.474306,3.526361,68.7,27,38
39,14,2.653545,3.713572,0,29,48
29,16,2.941602,2.639057,0,26,117
31,19,3.184261,0.6931472,35,23,51
31,12,3.019927,3.496508,45,29,2
41,16,1.862013,1.94591,65,30.5,139
33,13,2.739319,3.332205,10,20,171
35,20,2.218621,1.386294,16.8,41,179
35,15,2.935028,3.78419,43,15,27
26,12,2.474832,0,13.7,25,16
71,8,2.329081,3.970292,0,30,77
31,12,2.748223,2.70805,22,33,191
36,13,3.855096,2.833213,23.8,32,168
22,12,2.075256,3.637586,20,29,39
33,12,4.792712,3.78419,0,38.5,13
51,12,2.809712,2.484907,50,29,145
65,8,2.451139,2.397895,47,25,190
24,14,2.599548,3.828641,0,25,146
22,12,3.834074,3.850147,29.99,7,33
35,12,2.65822,4.143135,26,14,125
60,20,3.537088,3.332205,11.648,3,33
25,17,2.002691,3.663562,25,21,110
58,12,3.950305,2.197225,45,15,152
51,14,2.569921,3.583519,20,6,174
58,12,4.642849,4.477337,0,25,11
65,8,2.090272,2.197225,0,34,143
25,15,1.769579,4.219508,20,9,38
82,20,2.661882,2.944439,30,33,188
27,14,2.47873,1.098612,99.999,20,68
77,3,3.11104,3.583519,99.999,30,186
24,15,3.11104,3.583519,99.999,32,186
34,12,2.401011,2.772589,35,15,103
71,9,2.606525,2.56495,15,30,28
21,14,1.202592,2.397895,0,32,113
83,8,2.298081,0,11.746,6,38
51,8,2.592679,3.78419,65,18,98
39,13,2.397015,3.663562,30,33,89
52,12,2.205511,1.94591,30,26,143
46,12,2.10873,4.007333,83,21,178
41,8,1.702925,0,42,22,115
38,16,1.953437,3.367296,0,38,190
71,4,2.301322,4.276666,25,12,93
81,8,1.376546,4.025352,66,19,91
18,11,2.162604,3.044522,27,2,156
48,11,2.075901,2.890372,44,18,59
33,12,1.579558,1.386294,33,24,139
21,12,2.500752,3.806663,174.999,15,90
25,10,2.480352,3.871201,99.999,32,83
34,15,3.600693,3.433987,90,20,49
19,12,2.709712,1.94591,47,8,37
38,12,2.595513,4.330733,90,23,132
32,12,2.046434,3.610918,90,14,146
19,12,2.127024,2.944439,0,33,135
27,7,3.591854,2.772589,12,10,156
29,12,2.173357,4.043051,3,22,182
63,8,3.018076,0,45.82,25,180
31,12,2.09372,3.7612,43.677,29,67
89,8,2.38078,2.197225,50,10,117
31,14,4.008672,3.332205,30,13,10
53,8,2.526777,4.025352,6,4,120
29,15,2.335167,3.871201,12,4,22
63,12,2.979566,4.26268,14,3,8
86,3,2.16742,3.988984,38,32,110
57,15,2.717809,1.791759,24.5,28,161
67,14,3.225368,2.70805,32.5,19,5
44,13,3.452013,1.098612,28.2,19,42
44,16,3.710499,3.871201,50,7,57
55,20,2.233826,3.663562,78,12,179
47,10,2.466421,2.944439,43,12,68
59,4,2.252672,2.995732,40,28,137
69,4,2.832027,3.178054,48,2,153
53,11,2.255904,3.091043,0,22,83
22,11,2.115036,3.89182,90,19,135
53,8,2.607699,2.890372,15,33,180
67,8,3.105335,4.317488,0,11,148
25,12,3.641596,3.044522,45,27,155
70,9,2.913214,3.73767,48,19,191
43,6,3.019998,1.791759,28.6,21,132
24,12,2.483846,3.583519,48,5,147
28,11,3.296762,2.944439,16,37,165
27,3,1.60745,1.386294,21,37.5,150
70,8,3.05183,4.077538,34,11,180
28,9,2.33847,2.70805,0,22,121
72,11,2.72332,2.890372,77,6,44
33,17,2.667586,4.304065,33,22,14
48,13,3.42199,3.295837,45,16,7
33,12,3.027956,4.369448,22,41,147
62,10,3.284675,2.302585,0.21,45,2
77,10,2.107108,3.496508,50,10,68
34,16,2.223391,1.94591,0,14,164
63,8,2.551189,4.060443,40,33,183
41,12,2.2491,3.135494,99.999,22,136
77,13,2.090272,2.995732,58,10,143
58,4,2.512996,2.079442,85,24,159
72,11,3.018066,2.484907,60,28,52
73,11,3.931182,0,40,22,12
31,4,3.661102,2.639057,80,16,5
65,11,1.749063,2.772589,30.15,7,25
29,9,2.530387,3.258096,38,18,52
27,12,2.063146,3.7612,12,19,96
20,9,2.381206,4.189655,55,20,56
79,7,1.984715,3.496508,7.8,19,59
25,15,1.80795,1.386294,5,41,107
69,12,1.741536,2.833213,19.5,29,147
30,17,2.961809,4.330733,2,20,3
49,12,1.301804,4.356709,35,21,88
51,19,2.202937,3.091043,23.288,20,80
57,7,3.591854,2.302585,36,15,156
79,12,2.509257,4.442651,40.775,27,93
51,12,2.794638,2.995732,0,46,130
68,7,2.743704,1.386294,0,18,22
77,8,2.572438,3.663562,33,27,39
62,12,2.389143,2.70805,23,27,79
43,14,2.17806,3.526361,25,27,150
54,11,3.93235,3.931826,28,39,164
75,8,3.228793,3.871201,50,25,86
81,14,2.365649,4.26268,99.999,25,4
74,11,3.903536,3.401197,99.999,29,12
72,9,3.64235,3.637586,60,26,16
73,8,2.809741,4.356709,0,26,26
42,12,2.460262,2.56495,70,27.5,116
73,16,1.918308,3.091043,10.5,2,172
55,12,3.403254,3.465736,35,9,8
NA,9,2.826459,2.079442,35,26,186
64,18,2.635991,3.871201,31.5,23.5,103
49,8,1.910024,4.276666,32,15,121
70,13,2.804822,3.044522,26,27,120
23,12,3.550295,3.7612,2.4,47,10
25,12,2.96219,2.772589,0,45,168
76,11,2.163955,0,0,47,182
NA,13,2.659404,3.091043,35,21,53
67,12,2.113768,3.73767,18,12,61
27,13,3.021229,4.26268,2.405,45,148
33,10,2.311585,3.526361,40,19,66
48,8,3.020718,0,37,17,171
42,18,1.590679,4.356709,35,26,52
34,11,2.376728,1.098612,16,43,59
43,13,1.42331,3.663562,24.284,11,89
24,17,2.445426,4.043051,0,26,124
21,12,2.971511,3.78419,25,10,38
28,12,2.200832,2.944439,28,27,106
46,13,3.499791,3.178054,0,12,9
71,8,2.624919,4.304065,0,46,6
56,10,2.433475,2.70805,0,20,151
51,12,1.867541,2.484907,48,9,93
26,12,2.122555,2.70805,22,27,120
56,11,3.889275,3.73767,0,34,4
56,12,3.198883,0,7.038,43,19
39,12,4.637401,3.295837,0,38,10
54,10,2.149547,3.044522,99.999,38,163
55,12,2.30684,2.944439,0,9,79
24,12,3.156022,2.397895,55,21,190
47,7,2.967887,3.610918,0,34.5,26
39,11,2.157687,4.276666,60,7,95
25,12,2.402771,2.70805,4,11,28
33,12,2.639195,3.912023,25,13,102
73,8,2.55943,4.219508,35,31,147
60,12,3.46423,3.583519,35,11,74
37,12,3.033347,2.397895,99.999,47,178
24,12,2.263556,2.890372,99.999,18,21
75,3,1.839542,4.060443,50,6,72
23,13,2.88723,2.484907,37.9,26.5,120
45,10,3.615978,3.258096,40,17,17
68,8,2.374331,2.079442,0,18,77
40,12,2.831253,3.135494,60,30,170
30,16,3.094634,4.189655,99.999,41,3
66,1,3.47841,2.56495,38,24,27
54,14,2.131941,1.098612,22,20,135
19,13,4.009251,2.56495,26,14,49
77,7,2.613136,2.944439,48.6,21,139
25,12,1.974606,3.931826,40,16,172
75,5,2.049836,2.639057,29,40,186
34,12,2.306123,3.258096,79,14,178
51,12,2.232225,0,60,38,169
80,16,2.576913,2.70805,0,51,60
70,9,1.726272,3.135494,2.1,39,135
