Input1,Input2,Output
9.3,1.7,15
9.4,2.4,21.3
9.5,1.2,10.8
9.6,0.4,3.3
10,1.5,13.2
10.1,0.3,2.8
10.2,0.7,6.1
10.3,0.5,4
10.4,0,0.3
11,9.2,82.1
11.1,2.3,20.3
11.3,0.3,2.8
11.4,4,35.6
11.5,0.6,5.4
11.6,2,18
13,9.7,86.9
13.1,9.7,86.9
04.1.01,9.1,80.9
04.4.03,2.7,24.3
04.5.01,4,35.9
07.2.02,6.3,56
1,17.1,173.6
1.1,2.4,24.1
1.2,2.9,29.4
1.3,6.5,66.1
1.4,1.7,16.9
1.5,3.7,37.2
2,6.3,63.6
2.1,4.3,43.8
2.2,2,19.8
3,3.7,37.8
3.1,2.9,29.2
3.2,0.9,8.6
4,16.3,165.2
4.1,7.5,75.6
4.3,2,20.5
4.4,2.9,28.9
4.5,4,40.2
5,4.5,45.3
5.1,1.5,15
5.2,0.6,5.7
5.3,1,9.7
5.4,0.1,1.2
5.5,0.5,5.2
5.6,0.8,8.5
6,4,40.2
6.1,0.9,9.1
6.2,2.8,28.7
6.3,0.2,2.4
7,15.3,155.3
7.1,2.8,28.3
7.2,9.5,96.5
7.3,3,30.5
8,3.4,34.1
8.1,0.1,1.4
8.2,0.3,3
8.3,2.9,29.7
9,8.3,84.3
9.1,1.8,18.2
9.2,0.2,2
9.3,1.6,16
9.4,2.3,23.5
9.5,1.2,11.9
9.6,0.5,4.7
10,1.1,11.5
10.1,0.3,3
10.2,0.3,2.6
10.3,0.6,5.9
10.4,0,0
11,9.4,94.9
11.1,2.2,22.4
11.3,0.5,4.8
11.4,4.2,42.8
11.5,0.6,5.9
11.6,1.9,19.1
13,10.5,106.2
13.1,10.5,106.2
04.1.01,7.5,75.6
04.4.03,2.4,24.4
04.5.01,3.5,35.3
07.2.02,5.5,55.3
1,15.9,222.7
1.1,2.2,30.9
1.2,2.5,34.8
1.3,5.5,77.1
1.4,1.5,21.1
1.5,4.2,58.8
2,6.3,88.2
2.1,4.9,68
2.2,1.4,20.2
3,4.2,59.3
3.1,3.3,45.7
3.2,1,13.6
4,13.5,188.8
4.1,4.6,64.6
4.3,2.1,29.4
4.4,2.9,41.1
4.5,3.8,53.8
5,5.5,76.8
5.1,1.9,26.7
5.2,0.4,5
5.3,1.5,21.1
5.4,0.3,4
5.5,0.6,7.9
5.6,0.9,12
6,4.6,64.1
6.1,1,14.3
6.2,3.4,47
6.3,0.2,2.9
7,14.9,208.7
7.1,3,42
7.2,8.2,114.6
7.3,3.7,52.1
8,3,42.2
8.1,0.2,2.2
8.2,0.3,3.5
8.3,2.6,36.4
9,10.5,147.1
9.1,1.9,26.2
9.2,0.2,2.3
9.3,2.2,31.4
9.4,2.7,37.8
9.5,1.3,18.5
9.6,1,13.5
10,1.3,18.4
10.1,0.1,1.9
10.2,0.4,5.6
10.3,0.8,10.7
10.4,0,0.3
11,10.4,145
11.1,2.5,35.2
11.3,0.5,7.6
11.4,4.9,68
11.5,0.6,8
11.6,1.9,26.1
13,9.7,135.4
13.1,9.7,135.4
04.1.01,4.6,64.6
04.4.03,2.6,36.1
04.5.01,3.3,46.1
07.2.02,4.9,68.1
1,20.1,63.3
1.1,3.1,9.7
1.2,4.1,13
1.3,9.2,29
1.4,1.6,5
1.5,2.1,6.5
2,5.6,17.5
2.1,2.4,7.4
2.2,3.2,10.1
3,2.1,6.5
3.1,1.4,4.5
3.2,0.6,2
4,29.1,91.5
4.1,13.9,43.7
4.3,0.9,3
4.4,5.8,18.2
4.5,8.5,26.6
5,3.3,10.5
5.1,0.9,2.8
5.2,0.3,0.8
5.3,0.8,2.4
5.4,0.2,0.5
5.5,0.4,1.2
5.6,0.9,2.8
6,3.6,11.3
6.1,1,3.2
6.2,2.5,7.9
6.3,0.1,0.2
7,11.3,35.4
7.1,0.4,1.4
7.2,9.2,28.9
7.3,1.6,5.1
8,4.7,14.8
8.1,0.1,0.4
8.2,0.2,0.5
8.3,4.4,13.9
9,6.2,19.6
9.1,0.7,2.2
9.2,0.3,1
9.3,1.5,4.9
9.4,1.9,6.1
9.5,1.4,4.4
9.6,0.2,0.5
10,0.4,1.4
10.1,0,0.1
10.2,0.3,1
10.3,0.1,0.3
10.4,0,0
11,10.8,33.8
11.1,2,6.3
11.3,0.1,0.4
11.4,3.9,12.3
11.5,0.5,1.7
11.6,4.2,13.2
13,2.9,9.1
13.1,2.9,9.1
04.1.01,13.9,43.7
04.4.03,5.2,16.4
04.5.01,7.5,23.6
07.2.02,5.6,17.5
1,19.1,106.7
1.1,3,16.9
1.2,3.3,18.6
1.3,8.3,46.3
1.4,1.9,10.5
1.5,2.6,14.3
2,6.1,33.9
2.1,3.5,19.7
2.2,2.5,14.1
3,2.8,15.9
3.1,2,11.2
3.2,0.8,4.6
4,23.4,130.3
4.1,11.9,66.5
4.3,1.4,8
4.4,4,22.2
4.5,6,33.6
5,5,27.7
5.1,1.7,9.4
5.2,0.2,1.2
5.3,1.5,8.2
5.4,0.1,0.7
5.5,0.4,2.5
5.6,1,5.7
6,4.5,25.3
6.1,1.2,6.9
6.2,2.8,15.5
6.3,0.5,3
7,12.4,69
7.1,0.9,5.2
7.2,9.7,54.4
7.3,1.7,9.4
8,3.6,19.9
8.1,0.2,1
8.2,0.1,0.3
8.3,3.3,18.6
9,7.3,40.6
9.1,1.4,7.6
9.2,0.1,0.3
9.3,1.9,10.4
9.4,1.8,10.2
9.5,1.4,8.1
9.6,0.3,1.8
10,0.8,4.2
10.1,0.1,0.7
10.2,0.2,1.2
10.3,0.4,2.2
10.4,0,0.1
11,9.7,54.2
11.1,2.2,12.5
11.3,0.3,1.6
11.4,4.1,22.9
11.5,0.5,3.1
11.6,2.6,14.2
13,5.4,30.1
13.1,5.4,30.1
04.1.01,11.9,66.5
04.4.03,3.5,19.7
04.5.01,5.4,29.8
07.2.02,6.4,35.8
1,18.9,154.2
1.1,2.6,21.3
1.2,3.1,25.4
1.3,7.8,63.5
1.4,1.8,14.9
1.5,3.6,29.2
2,5.9,48
2.1,3.7,30.1
2.2,2.2,17.9
3,3.8,30.9
3.1,3.1,25.1
3.2,0.7,5.8
4,20.6,168.8
4.1,11.3,92.5
4.3,1.9,15.6
4.4,2.9,23.8
4.5,4.5,36.8
5,4.2,34.4
5.1,1.2,9.5
5.2,0.4,3.4
5.3,1.2,9.7
5.4,0.1,1.2
5.5,0.5,4
5.6,0.8,6.5
6,3.4,28.1
6.1,0.9,7.4
6.2,2.2,18.1
6.3,0.3,2.6
7,13.3,109.1
7.1,1.5,12
7.2,9.4,77
7.3,2.5,20.1
8,3.2,26
8.1,0.2,1.6
8.2,0.1,1.1
8.3,2.8,23.3
9,8.8,72.2
9.1,1.7,14
9.2,0.1,1.2
9.3,1.8,14.8
9.4,2.6,21.2
9.5,1.6,12.8
9.6,0.4,3.3
10,1.6,13.2
10.1,0.2,1.6
10.2,0.7,5.6
10.3,0.7,5.5
10.4,0.1,0.5
11,9.3,75.9
11.1,2.3,19.1
11.3,0.3,2.2
11.4,4.2,34.1
11.5,0.6,4.8
11.6,1.9,15.7
13,7,57.4
13.1,7,57.4
04.1.01,11.3,92.5
04.4.03,2.5,20.4
04.5.01,3.9,32.3
07.2.02,5.7,46.8
1,16.7,189.4
1.1,2.3,26.5
1.2,2.6,29.8
1.3,6.5,73.7
1.4,1.7,19.4
1.5,3.5,39.9
2,6.7,75.8
2.1,4.8,54.2
2.2,1.9,21.6
3,3.9,43.9
3.1,3.1,35.6
3.2,0.7,8.3
4,14.5,164.5
4.1,6.6,74.8
4.3,1.7,18.8
4.4,2.7,30.6
4.5,3.6,40.2
5,4.8,54.8
