Input1,Input2,Output
8.1,0.2,3.2
8.2,0.2,2.2
8.3,3.1,42
9,10.5,145.1
9.1,1.7,23.6
9.2,0.4,5.1
9.3,2.3,31.5
9.4,2.6,36.2
9.5,1.2,15.9
9.6,0.7,9.8
10,1.2,17.2
10.1,0.3,3.7
10.2,0.4,5.9
10.3,0.5,7.2
10.4,0,0.5
11,9.1,124.9
11.1,2.2,29.7
11.3,0.4,5.8
11.4,4.9,68
11.5,0.5,7.5
11.6,1,14
13,7.8,107.2
13.1,7.8,107.2
04.1.01,4.6,64
04.4.03,2.7,37.5
04.5.01,3.4,46.2
07.2.02,4.5,62.1
1,22.8,82.7
1.1,3.3,12
1.2,4,14.5
1.3,10.9,39.5
1.4,2.3,8.3
1.5,2.3,8.4
2,6.4,23.3
2.1,2.9,10.5
2.2,3.5,12.8
3,1.6,5.7
3.1,1.2,4.4
3.2,0.4,1.3
4,30.8,111.4
4.1,15,54.4
4.3,1.1,3.8
4.4,5.6,20.1
4.5,9.1,33
5,3.2,11.6
5.1,0.6,2.3
5.2,0.2,0.6
5.3,0.7,2.7
5.4,0.1,0.3
5.5,0.6,2.1
5.6,1,3.6
6,3.1,11.3
6.1,0.8,2.7
6.2,2.3,8.4
6.3,0,0.2
7,10.6,38.3
7.1,0.6,2.2
7.2,9.1,32.8
7.3,0.9,3.3
8,5.5,20
8.1,0.2,0.6
8.2,0.1,0.4
8.3,5.3,19.1
9,5.8,20.8
9.1,0.8,2.8
9.2,0,0
9.3,1.5,5.4
9.4,2.1,7.4
9.5,1.1,4.1
9.6,0.1,0.5
10,0.4,1.4
10.1,0.2,0.6
10.2,0.1,0.3
10.3,0.1,0.5
10.4,0,0
11,6.7,24.3
11.1,2,7.2
11.3,0.3,1
11.4,3.6,13.2
11.5,0.5,1.8
11.6,0.3,1.1
13,3.1,11.2
13.1,3.1,11.2
04.1.01,15,54.4
04.4.03,5,18.2
04.5.01,8.3,29.9
07.2.02,5.4,19.6
1,20.1,126.2
1.1,2.8,17.5
1.2,3.4,21.3
1.3,8.4,52.9
1.4,2.2,13.8
1.5,3.3,20.6
2,6.9,43.4
2.1,3.9,24.3
2.2,3,19.2
3,2.7,16.9
3.1,2.1,13.2
3.2,0.6,3.7
4,25.9,162.9
4.1,15.4,97.1
4.3,1.2,7.3
4.4,3.4,21.4
4.5,5.9,37.1
5,2.8,17.6
5.1,0.6,3.7
5.2,0.2,1.2
5.3,0.8,4.9
5.4,0.1,0.8
5.5,0.4,2.5
5.6,0.7,4.6
6,4.6,29.1
6.1,1.1,7
6.2,3.1,19.2
6.3,0.5,2.9
7,13.1,82.2
7.1,1.6,10.3
7.2,9.6,60.6
7.3,1.8,11.2
8,4,25.2
8.1,0.1,0.7
8.2,0.1,0.9
8.3,3.8,23.7
9,7.3,45.8
9.1,1.3,8.4
9.2,0.1,0.5
9.3,1.7,10.9
9.4,2.2,14.1
9.5,1.2,7.4
9.6,0.2,1.5
10,1,6.1
10.1,0.2,1.4
10.2,0.2,1.2
10.3,0.5,3.4
10.4,0,0.1
11,6.8,42.7
11.1,2.1,13.2
11.3,0.2,1.2
11.4,3.4,21.6
11.5,0.6,3.5
11.6,0.5,3.1
13,4.9,30.7
13.1,4.9,30.7
04.1.01,15.4,97.1
04.4.03,3,18.6
04.5.01,5.2,32.9
07.2.02,5.9,37.3
1,20,178.9
1.1,2.9,26.2
1.2,3.1,28.2
1.3,7.9,70.3
1.4,2.1,19.1
1.5,3.9,35
2,6.4,57.1
2.1,4.2,37.5
2.2,2.2,19.6
3,3.1,27.8
3.1,2.5,22.2
3.2,0.6,5.7
4,19.7,176
4.1,10.3,92.1
4.3,1.3,11.5
4.4,3.1,28
4.5,5,44.4
5,3.9,34.9
5.1,1.2,10.9
5.2,0.3,3.1
5.3,0.7,5.9
5.4,0.2,1.9
5.5,0.6,5.7
5.6,0.8,7.4
6,4.4,39.2
6.1,1,8.7
6.2,3.1,27.6
6.3,0.3,2.9
7,14,125.2
7.1,1.7,15
7.2,9.9,88.4
7.3,2.4,21.8
8,3.8,33.6
8.1,0.1,1.3
8.2,0.2,2
8.3,3.4,30.3
9,8.7,77.8
9.1,1.5,13.7
9.2,0,0.4
9.3,2.2,19.6
9.4,2.5,22.7
9.5,1.3,11.5
9.6,0.5,4.1
10,1.2,10.7
10.1,0.3,2.4
10.2,0.3,2.6
10.3,0.6,5.3
10.4,0,0.3
11,7.7,69.3
11.1,2.2,19.6
11.3,0.3,3.1
11.4,4.1,37.1
11.5,0.5,4.2
11.6,0.6,5.3
13,7.2,64.1
13.1,7.2,64.1
04.1.01,10.3,92.1
04.4.03,2.7,23.9
04.5.01,4.4,39.5
07.2.02,5.8,51.8
1,18.1,211.2
1.1,2.3,27.2
1.2,3,35.5
1.3,6.7,78.3
1.4,2,23.2
1.5,4,46.8
2,6.3,73.3
2.1,4.5,52.6
2.2,1.8,20.6
3,4.4,51.9
3.1,3.7,42.7
3.2,0.8,9.2
4,17.1,199.1
4.1,7.9,92.2
4.3,2.3,26.7
4.4,2.8,32.4
4.5,4.1,47.7
5,4.5,53
5.1,1.5,17.7
5.2,0.4,4.4
5.3,0.9,11
5.4,0.4,4.9
5.5,0.5,6.2
5.6,0.8,8.8
6,4,46.5
6.1,1.1,12.7
6.2,2.7,31.4
6.3,0.2,2.4
7,14.3,166.7
7.1,2.8,32.4
7.2,8.8,102.6
7.3,2.7,31.8
8,3.3,38.4
8.1,0.2,2.3
8.2,0.1,1.5
8.3,3,34.6
9,9.1,106.8
9.1,1.8,21
9.2,0.2,2.1
9.3,1.9,22.4
9.4,2.4,28.2
9.5,1.3,15.3
9.6,0.5,5.4
10,1.5,17.8
10.1,0.4,5.2
10.2,0.3,3.5
10.3,0.7,8.6
10.4,0,0.4
11,8.7,101.9
11.1,2.3,26.6
11.3,0.6,6.6
11.4,4.4,51.3
11.5,0.5,5.7
11.6,1,11.7
13,8.6,100.8
13.1,8.6,100.8
04.1.01,7.9,92.2
04.4.03,2.4,27.7
04.5.01,3.5,41.3
07.2.02,5.3,61.7
1,15.1,262
1.1,1.9,33.2
1.2,2.3,40.6
1.3,5.1,88.5
1.4,1.6,27.5
1.5,4.2,72.1
2,5.8,101.1
2.1,4.7,82.1
2.2,1.1,19
3,4.3,74
3.1,3.6,62.2
3.2,0.7,11.8
4,14.5,251.1
4.1,4.7,81.8
4.3,3.7,63.5
4.4,2.7,46.9
4.5,3.4,58.9
5,5.4,93.2
5.1,1.8,30.4
5.2,0.6,11
5.3,1.1,19.5
5.4,0.4,6.4
5.5,0.7,11.3
5.6,0.8,14.5
6,4.9,84.4
6.1,1,18
6.2,3.5,60.8
6.3,0.3,5.6
7,15.5,268.8
7.1,4.2,72.4
7.2,7.5,130.6
7.3,3.8,65.8
8,3.4,59.2
8.1,0.3,4.4
8.2,0.2,3.3
8.3,3,51.5
9,9.9,172.2
9.1,1.5,26.4
9.2,0.3,5.8
9.3,2.3,39.1
9.4,2.5,43.3
9.5,1.1,18.3
9.6,0.7,12.1
10,1.8,31.7
10.1,0.4,6.5
10.2,0.6,10
10.3,0.8,14.2
10.4,0.1,0.9
11,9.4,162.2
11.1,2.2,38.9
11.3,0.6,10.2
11.4,4.8,82.8
11.5,0.5,8.4
11.6,1.3,21.9
13,9.9,171.2
13.1,9.9,171.2
04.1.01,4.7,81.8
04.4.03,2.3,39.2
04.5.01,2.9,50.5
07.2.02,4.2,73.6
1,19,156.3
1.1,2.2,17.9
1.2,3.4,27.9
1.3,7.9,65.1
1.4,2.2,18
1.5,3.3,27.5
2,7.6,62.6
2.1,3.6,29.6
2.2,4,32.9
3,3,24.8
3.1,2.4,20
3.2,0.6,4.8
4,27.1,222.5
4.1,17.6,144.7
4.3,1.3,11.1
4.4,2.2,18.2
4.5,5.9,48.6
5,3.2,25.9
5.1,1.1,9
5.2,0.2,2
5.3,0.5,4.5
5.4,0.2,1.7
5.5,0.2,2
5.6,0.8,6.5
6,2.6,21
6.1,0.7,5.7
6.2,1.6,13
6.3,0.3,2.3
7,12.7,104.1
7.1,2,16.4
7.2,9.4,76.8
7.3,1.3,10.9
8,3.8,31.1
8.1,0.1,1
8.2,0.1,1
8.3,3.5,29.1
9,7,57.9
9.1,1.2,10.2
9.2,0.1,0.4
9.3,2.1,17.2
9.4,2.2,18.4
9.5,0.8,6.4
9.6,0.2,1.8
10,1.2,9.5
10.1,0.4,3
10.2,0.3,2.8
10.3,0.4,3.6
10.4,0,0.1
11,6.1,50.2
11.1,2,16
11.3,0.4,3.2
11.4,2.7,21.8
11.5,0.6,4.6
11.6,0.6,4.6
13,6.7,54.9
13.1,6.7,54.9
04.1.01,17.6,144.7
04.4.03,1.9,15.4
04.5.01,5.3,43.8
07.2.02,5.9,48.5
1,21,102.3
1.1,3.4,16.5
1.2,3.7,18.3
1.3,9.5,46.4
1.4,1.7,8.2
1.5,2.7,13
2,5.3,25.7
2.1,3.6,17.5
2.2,1.7,8.1
3,2.9,14.1
3.1,2.4,11.8
3.2,0.5,2.3
4,21.9,106.9
4.1,5.3,26.1
4.3,2.6,12.5
4.4,6.7,32.5
4.5,7.4,35.9
5,4.9,23.8
5.1,1,4.9
5.2,0.4,1.9
5.3,1.4,6.6
5.4,0.2,1
5.5,0.7,3.6
5.6,1.2,5.8
6,6.2,30.4
6.1,1.4,6.8
6.2,4.5,21.8
6.3,0.4,1.8
7,12.1,59
7.1,1.4,7
7.2,8.5,41.5
7.3,2.2,10.5
8,4.9,24.1
8.1,0.3,1.4
8.2,0.1,0.5
8.3,4.6,22.2
9,9.7,47.4
9.1,1.2,5.7
9.2,0.1,0.3
9.3,2.1,10.3
9.4,2.7,13.1
9.5,1.9,9.3
9.6,0.6,2.7
10,0,0.2
10.1,0,0
10.2,0,0
10.3,0,0.1
10.4,0,0
11,9.3,45.3
11.1,2.2,10.9
11.3,0.2,1.2
11.4,5.6,27.4
11.5,0.4,1.7
11.6,0.8,4.1
13,1.8,8.6
13.1,1.8,8.6
04.1.01,5.3,26.1
04.4.03,6.1,29.7
04.5.01,6.5,31.8
07.2.02,4.6,22.7
1,18.6,175.5
1.1,2.6,24.2
1.2,3.1,29.2
1.3,7.3,69.5
1.4,1.9,17.6
1.5,3.7,35
2,6.4,60.4
2.1,4,38
2.2,2.4,22.3
3,3,28.3
3.1,2.5,23.3
3.2,0.5,5
4,23,217.8
4.1,11.2,105.7
4.3,2.2,21
4.4,4,37.7
4.5,5.6,53.4
5,4,37.9
5.1,1.2,11
5.2,0.3,3.2
5.3,0.8,7.9
5.4,0.3,2.5
5.5,0.5,5
5.6,0.9,8.3
6,3.4,31.7
6.1,1,9.8
6.2,2.1,20.2
6.3,0.2,1.7
7,13.2,124.6
7.1,2.4,22.8
7.2,8.6,81.5
7.3,2.1,20.3
8,4,37.5
8.1,0.2,1.5
8.2,0.2,2.2
8.3,3.6,33.8
9,8.1,77.1
9.1,1,9.7
9.2,0.2,1.7
9.3,2,18.5
9.4,2.6,24.8
9.5,1.1,10.5
9.6,0.4,3.8
10,1.3,12.1
10.1,0.3,3.2
10.2,0.4,3.6
10.3,0.5,4.7
10.4,0.1,0.5
11,9.3,88.1
11.1,2.2,20.5
11.3,0.3,3.2
11.4,5.6,52.6
11.5,0.4,3.8
11.6,0.8,8
13,5.8,55
13.1,5.8,55
04.1.01,11.2,105.7
04.4.03,3.4,32
04.5.01,5.1,48.1
07.2.02,5,47.4
1,18,94.2
1.1,2.5,13.3
1.2,3.1,16.2
1.3,8.4,44
1.4,1.9,9.8
1.5,2.1,10.9
2,6.3,33.3
2.1,2.4,12.4
2.2,4,20.8
3,1.3,6.7
3.1,1.2,6.1
3.2,0.1,0.5
4,42.2,221.5
4.1,31.8,166.7
4.3,0.6,3.1
4.4,2.4,12.5
4.5,7.5,39.2
5,2.1,10.8
5.1,0.4,2.3
5.2,0.1,0.6
5.3,0.5,2.4
5.4,0.1,0.5
5.5,0.3,1.8
5.6,0.6,3.3
6,2.3,11.9
6.1,0.7,3.6
6.2,1.6,8.2
6.3,0,0.2
7,9.4,49.4
7.1,1.1,5.8
7.2,7.4,38.6
7.3,1,5
8,3.1,16.5
8.1,0.1,0.6
8.2,0.1,0.7
8.3,2.9,15.2
9,4.6,24
9.1,0.5,2.7
9.2,0,0
9.3,1.3,7.1
9.4,1.8,9.3
9.5,0.7,3.7
9.6,0.1,0.5
10,1.2,6.3
10.1,0.1,0.6
10.2,0.2,1.3
10.3,0.8,4.1
10.4,0.1,0.3
11,5.9,31.2
11.1,1.8,9.4
11.3,0.1,0.4
11.4,2.6,13.8
11.5,0.5,2.5
11.6,1,5
13,3.6,18.7
13.1,3.6,18.7
04.1.01,31.8,166.7
04.4.03,1.8,9.5
04.5.01,6.9,36.2
07.2.02,4.7,24.9
1,19.2,94.9
1.1,2.8,14.1
1.2,3.7,18.1
1.3,8.9,43.8
1.4,1.7,8.5
1.5,2.1,10.4
2,5.3,26.3
2.1,2.8,13.7
2.2,2.6,12.6
3,1.6,8.1
3.1,1.3,6.3
3.2,0.4,1.7
4,32.7,161.9
4.1,18.6,92.3
4.3,1.6,8
4.4,4.4,21.8
4.5,8,39.8
5,2.9,14.2
5.1,0.8,3.8
5.2,0.2,1
5.3,0.5,2.6
5.4,0.2,0.8
5.5,0.4,2
5.6,0.8,4
6,2.9,14.6
6.1,1,5.1
6.2,1.9,9.3
6.3,0,0.2
7,11.1,55.1
7.1,1.7,8.3
7.2,8.3,40.9
7.3,1.2,5.8
8,5.4,26.7
8.1,0.2,1
8.2,0.2,1.2
8.3,4.9,24.5
9,6.5,32.1
9.1,0.8,3.8
9.2,0.1,0.5
9.3,1.7,8.2
9.4,2.3,11.3
9.5,1,5.2
9.6,0.3,1.4
10,0.9,4.5
10.1,0.1,0.5
10.2,0.3,1.5
10.3,0.5,2.2
10.4,0,0.2
11,8.3,40.9
11.1,2.2,11
11.3,0.1,0.4
11.4,4.7,23.3
11.5,0.4,2
11.6,0.9,4.2
13,3.2,15.7
13.1,3.2,15.7
04.1.01,18.6,92.3
04.4.03,3.8,18.9
04.5.01,7.4,36.8
07.2.02,4.8,23.9
1,20,147.7
1.1,3,21.9
1.2,3.3,24.4
1.3,8.3,61.4
1.4,2,15
1.5,3.4,25
2,6.2,46
2.1,3.4,25.3
2.2,2.8,20.6
3,2.4,17.9
3.1,2.1,15.5
3.2,0.3,2.4
4,27,199.6
4.1,14.5,107.3
4.3,1.6,12
4.4,4.4,32.8
4.5,6.4,47.4
5,3.9,28.5
5.1,1,7.6
5.2,0.4,2.9
5.3,1,7.3
5.4,0.2,1.1
5.5,0.4,3.3
5.6,0.9,6.3
6,3.2,24
6.1,1.1,8.1
6.2,2,14.5
6.3,0.2,1.3
7,11.8,87.2
7.1,1.9,14
7.2,8.5,62.9
7.3,1.4,10.3
8,4.1,30.5
8.1,0.1,1.1
8.2,0.2,1.7
8.3,3.8,27.7
9,6.9,50.9
9.1,0.9,6.4
9.2,0.1,0.8
9.3,1.7,12.5
9.4,2.5,18.5
9.5,1,7.6
9.6,0.3,2.4
10,1,7.3
10.1,0.2,1.2
10.2,0.3,2.1
10.3,0.4,3.3
10.4,0.1,0.7
11,8.4,62.2
11.1,2.1,15.3
11.3,0.2,1.8
11.4,5.1,37.7
11.5,0.4,3.2
11.6,0.6,4.2
13,5,36.6
13.1,5,36.6
04.1.01,14.5,107.3
04.4.03,3.7,27.6
04.5.01,5.9,43.4
07.2.02,5.3,39.4
1,18.8,190.4
1.1,2.5,25
1.2,3,30.6
1.3,7.3,73.7
1.4,2.2,22.6
1.5,3.8,38.5
2,6.1,62
2.1,3.9,40.1
2.2,2.2,21.9
3,3.1,31.8
3.1,2.6,26.1
3.2,0.6,5.7
4,21.6,219.5
4.1,10.4,105.6
4.3,2.1,21.3
4.4,3.8,38.4
4.5,5.3,54.2
5,3.8,38.3
5.1,1.1,11.3
5.2,0.3,3.2
5.3,0.7,7.4
5.4,0.3,3.1
5.5,0.5,4.8
5.6,0.8,8.5
6,3.1,31.8
6.1,1,10.6
6.2,2.1,20.9
6.3,0,0.3
7,13.3,134.9
7.1,2.5,25.8
7.2,8.6,87.8
7.3,2.1,21.4
8,4.1,42.1
8.1,0.1,1.3
8.2,0.2,2.5
8.3,3.8,38.3
9,8.9,90.6
9.1,1.1,11.4
9.2,0.2,1.8
9.3,2.2,22.2
9.4,2.7,27.5
9.5,1.5,15.1
9.6,0.3,3.4
10,1.6,16.6
10.1,0.4,4.2
10.2,0.5,4.7
10.3,0.7,7.1
10.4,0.1,0.6
11,9,91.8
11.1,2,20.2
11.3,0.3,3
11.4,5.6,56.4
11.5,0.5,4.8
11.6,0.7,7.4
13,6.4,65.4
13.1,6.4,65.4
04.1.01,10.4,105.6
04.4.03,3.1,31.8
04.5.01,4.8,49
07.2.02,5,50.4
1,18.2,230.3
1.1,2.4,30.5
1.2,3,38
1.3,6.8,85.9
1.4,1.8,22.9
1.5,4.2,53
2,7.8,98.7
2.1,5,63.8
2.2,2.8,34.9
3,3.8,48.3
3.1,3,38.1
3.2,0.8,10.2
4,17.5,221.2
4.1,7.6,95.9
4.3,2.1,26.5
4.4,3.4,43.1
4.5,4.4,55.6
5,4.2,52.9
5.1,1.2,14.8
5.2,0.3,3.3
5.3,0.7,9.3
5.4,0.4,4.8
5.5,0.7,8.7
5.6,0.9,12
6,3.7,46.9
6.1,0.9,11.6
6.2,2.4,30.2
6.3,0.4,5.1
7,13.7,173.4
7.1,2.5,31.9
7.2,9.1,115.3
7.3,2.1,26.3
8,3.1,39.6
8.1,0.1,1.8
8.2,0.3,3.7
8.3,2.7,34.1
9,9.1,115.5
9.1,1.2,14.7
9.2,0.4,5.6
9.3,2.3,29.1
9.4,2.7,34.4
9.5,1,12.5
9.6,0.6,7.3
10,1.6,20.4
10.1,0.7,9.1
10.2,0.3,3.3
10.3,0.6,7.4
10.4,0,0.5
11,9.7,122.6
11.1,2.1,26.3
11.3,0.5,6.6
11.4,5.9,74
11.5,0.4,4.7
11.6,0.9,11
13,7.4,93.7
13.1,7.4,93.7
04.1.01,7.6,95.9
04.4.03,2.9,36.4
04.5.01,3.9,49.8
07.2.02,5.2,65.3
1,16.6,257.2
1.1,2.1,32.7
1.2,2.4,37.5
1.3,5.5,85.3
1.4,1.5,23.8
1.5,5,77.8
2,6.5,100.1
2.1,4.9,76.3
2.2,1.5,23.8
3,3.9,61.2
3.1,3.3,51.7
3.2,0.6,9.5
4,16.2,251.3
4.1,4.7,72.4
4.3,3.7,56.9
4.4,3.9,60.1
4.5,4,61.9
5,5.4,83.1
5.1,1.7,26.9
5.2,0.5,8.1
5.3,1.2,18.3
5.4,0.3,5.2
5.5,0.6,9.9
5.6,0.9,14.7
6,3.7,57.6
6.1,1.1,16.9
6.2,2.4,36.8
6.3,0.3,3.9
7,15.9,246.7
7.1,3.4,53
7.2,8.5,132
7.3,4,61.7
8,3,46.8
8.1,0.2,2.7
8.2,0.2,2.5
8.3,2.7,41.7
9,9.3,144.2
9.1,1.2,18.9
9.2,0.1,0.9
9.3,1.9,30
9.4,2.9,44.6
9.5,1,15.4
9.6,0.5,7.6
10,1.3,19.4
10.1,0.3,4.5
10.2,0.6,9.2
10.3,0.3,5
10.4,0,0.7
11,11.1,172.2
11.1,2.5,38.1
11.3,0.5,8.3
11.4,6.6,102
11.5,0.3,5.2
11.6,1.2,18.6
13,7.1,109.9
13.1,7.1,109.9
04.1.01,4.7,72.4
04.4.03,3.3,51.9
04.5.01,3.4,52
07.2.02,4.8,74.1
1,19.3,73.9
1.1,2.9,11
1.2,3.7,14.4
1.3,8.9,34
1.4,1.7,6.4
1.5,2.2,8.3
2,5.2,20
2.1,2.2,8.6
2.2,3,11.4
3,1.4,5.5
3.1,1.2,4.8
3.2,0.2,0.7
4,34.5,132.5
4.1,18,69.2
4.3,1.4,5.3
4.4,5.7,21.9
4.5,9.4,36
5,2.7,10.2
5.1,0.7,2.7
5.2,0.1,0.5
5.3,0.6,2.4
5.4,0.1,0.4
5.5,0.4,1.3
5.6,0.8,2.9
6,3.1,11.8
6.1,1.1,4.1
6.2,2,7.6
6.3,0,0.1
7,10.3,39.7
7.1,0.8,2.9
7.2,8.7,33.2
7.3,0.9,3.5
8,5.8,22.2
8.1,0.2,0.7
8.2,0.1,0.3
8.3,5.6,21.3
9,5.6,21.5
9.1,0.7,2.8
9.2,0,0.1
9.3,1.4,5.2
9.4,2,7.7
9.5,1,3.9
9.6,0.2,0.6
10,0.6,2.3
10.1,0.2,0.7
10.2,0.2,0.9
10.3,0.1,0.6
10.4,0,0.1
11,9,34.5
11.1,2.2,8.4
11.3,0.1,0.3
11.4,5.6,21.5
11.5,0.5,1.9
11.6,0.6,2.4
13,2.5,9.4
13.1,2.5,9.4
04.1.01,18,69.2
04.4.03,5,19.3
04.5.01,8.6,33.1
07.2.02,4.8,18.4
1,20.5,140.6
1.1,3.1,21.2
1.2,3.4,23.3
1.3,8.6,59.1
1.4,2.1,14.2
1.5,3.3,22.8
2,7.3,50
2.1,4,27.7
2.2,3.2,22.2
3,1.9,13.1
3.1,1.5,10.4
3.2,0.4,2.7
4,27.7,190.3
4.1,15.4,105.8
4.3,1.6,10.9
4.4,4.4,30
4.5,6.4,43.7
5,3.5,24.2
5.1,0.9,6.1
5.2,0.3,1.9
5.3,0.9,6
5.4,0.2,1.1
5.5,0.5,3.1
5.6,0.9,6
6,3.4,23.5
6.1,1.1,7.3
6.2,1.9,13
6.3,0.5,3.2
7,11.3,77.4
7.1,1.1,7.5
7.2,8.7,59.7
7.3,1.5,10.1
8,4.5,30.7
8.1,0.2,1.1
8.2,0.3,2
8.3,4,27.6
9,6.9,47.4
9.1,0.8,5.5
9.2,0.1,0.4
9.3,1.8,12.6
9.4,2.4,16.7
9.5,1.2,8.6
9.6,0.2,1.6
10,0.9,6
10.1,0.1,0.9
10.2,0.3,2.2
10.3,0.3,2.2
10.4,0.1,0.8
11,8.5,58.3
11.1,2.1,14.5
11.3,0.2,1.6
11.4,5.1,34.9
11.5,0.5,3.1
11.6,0.6,4.2
13,3.7,25.4
13.1,3.7,25.4
04.1.01,15.4,105.8
04.4.03,3.7,25.2
04.5.01,5.9,40.4
07.2.02,5.5,38.1
1,19.8,187.4
1.1,2.7,25.8
1.2,3.1,29.5
1.3,7.7,72.8
1.4,2.1,19.9
1.5,4.2,39.4
2,6.4,60.3
2.1,4.3,41.1
2.2,2,19.3
3,3.1,29.7
3.1,2.6,25
3.2,0.5,4.7
4,20.5,193.9
4.1,9.9,93.9
4.3,2,18.7
4.4,3.7,34.6
4.5,4.9,46.8
5,4.2,40
5.1,1.2,11.1
5.2,0.4,3.7
5.3,0.9,8.9
5.4,0.3,3
5.5,0.6,5.3
5.6,0.8,8
6,3.5,33.2
6.1,1.1,10.3
6.2,2.1,19.9
6.3,0.3,3
7,12.9,121.6
7.1,1.8,17.4
7.2,8.8,83.6
7.3,2.2,20.6
8,3.6,34.1
8.1,0.1,1.1
8.2,0.3,2.5
8.3,3.2,30.5
9,9.4,88.8
9.1,1.2,11.6
9.2,0.3,3
9.3,2.4,22.8
9.4,2.9,27.6
9.5,1.3,11.9
9.6,0.5,5
10,1.3,12.1
10.1,0.3,2.7
10.2,0.3,2.7
10.3,0.6,6
10.4,0.1,0.8
11,9.5,90.2
11.1,2.2,20.4
11.3,0.4,4
11.4,5.5,51.9
11.5,0.4,3.9
11.6,1.1,10
13,5.8,54.6
13.1,5.8,54.6
04.1.01,9.9,93.9
04.4.03,3,28.8
04.5.01,4.4,42
07.2.02,5.3,49.7
1,17.4,222.4
1.1,2.2,28.1
1.2,2.8,35.8
1.3,6.1,77.9
1.4,2.1,26.3
1.5,4.3,54.4
2,7.2,91.3
2.1,4.9,62.3
2.2,2.3,29
3,3.6,45.5
3.1,2.9,36.5
3.2,0.7,9
4,18.1,230.5
4.1,8.4,107.1
4.3,2.1,27.2
4.4,3.3,42.2
4.5,4.2,54
5,4.4,56.3
5.1,1.3,16.4
5.2,0.5,5.8
5.3,0.8,9.6
5.4,0.3,3.7
5.5,0.6,8.2
5.6,1,12.6
6,3.2,40.5
6.1,0.9,11.5
6.2,2.3,28.8
6.3,0,0.2
7,14.8,189.4
7.1,3.1,40.1
7.2,8.8,111.6
7.3,3,37.6
8,3.3,42.3
8.1,0.2,2.4
8.2,0.3,3.9
8.3,2.8,36
9,9,114.6
9.1,1.2,14.9
9.2,0.2,2
9.3,2.2,27.4
9.4,2.8,35.5
9.5,1,12.4
9.6,0.5,6.5
10,2,25
10.1,0.6,8.2
10.2,0.3,4.3
10.3,0.9,12.1
10.4,0,0.4
11,9.5,121.3
11.1,2,25.9
11.3,0.4,5.6
11.4,5.9,75.4
11.5,0.3,3.9
11.6,0.8,10.5
13,7.6,96.7
13.1,7.6,96.7
04.1.01,8.4,107.1
04.4.03,2.8,35.1
04.5.01,3.7,47.3
07.2.02,5.2,66
1,15.8,295.6
1.1,1.9,36.1
1.2,2.3,44
1.3,5.5,102.6
1.4,1.4,26.6
1.5,4.6,86.2
2,5.9,110.5
2.1,4.6,86.5
2.2,1.3,24.1
3,4.9,91.9
3.1,4,75.7
3.2,0.9,16.2
4,14.3,268
4.1,4.1,76.7
4.3,4,75.7
4.4,2.9,53.8
4.5,3.3,61.8
5,5.2,98.1
5.1,1.8,33.1
5.2,0.4,8.4
5.3,1,18.1
5.4,0.5,8.5
5.5,0.6,12
5.6,1,18
6,3.6,66.8
6.1,1.1,19.9
6.2,2.4,45.6
6.3,0.1,1.3
7,16.6,311
7.1,5.2,97.7
7.2,8.1,152.8
7.3,3.2,60.4
8,2.6,49.5
8.1,0.2,2.8
8.2,0.3,4.7
8.3,2.2,42
9,9.9,185
9.1,1.2,22.8
9.2,0.3,6.3
9.3,2,37.7
9.4,3,55.5
9.5,1.1,20
9.6,0.6,10.8
10,1.7,31.6
10.1,0.5,8.6
10.2,0.7,13.8
10.3,0.5,8.6
10.4,0,0.6
11,10,188.2
11.1,2.4,44.2
11.3,0.5,9.4
11.4,5.7,107.4
11.5,0.3,6.3
11.6,1.1,20.9
13,9.6,179.7
13.1,9.6,179.7
04.1.01,4.1,76.7
04.4.03,2.4,45.1
04.5.01,2.8,52
07.2.02,4.3,80.6
1,19.1,159.9
1.1,2.3,18.8
1.2,3.3,27.4
1.3,7.5,62.3
1.4,2.4,20
1.5,3.8,31.4
2,7.7,64.3
2.1,3.3,27.9
2.2,4.4,36.4
3,2.7,22.5
3.1,2.2,18.6
3.2,0.5,3.9
4,28.3,236.3
4.1,17.6,146.7
4.3,1.2,9.8
4.4,2.9,24.4
4.5,6.6,55.4
5,3.3,27.4
5.1,1,8.4
5.2,0.3,2.1
5.3,0.6,4.9
5.4,0.2,1.6
5.5,0.5,3.8
5.6,0.8,6.5
6,2,16.5
6.1,0.6,4.8
6.2,1.3,10.6
6.3,0.1,1.1
7,12.4,104
7.1,1.5,12.7
7.2,9.4,79
7.3,1.5,12.4
8,3.5,29
8.1,0.1,0.5
8.2,0.2,1.8
8.3,3.2,26.7
9,6.2,51.6
9.1,0.8,7
9.2,0,0.3
9.3,1.3,11.1
9.4,2.6,21.8
9.5,0.5,4.3
9.6,0.3,2.1
10,1.1,9.4
10.1,0.3,2.8
10.2,0.3,2.7
10.3,0.4,3.5
10.4,0,0.4
11,8,66.8
11.1,2,16.4
11.3,0.3,2.2
11.4,4.3,36.3
11.5,0.6,4.7
11.6,0.9,7.3
13,5.8,48.1
13.1,5.8,48.1
04.1.01,17.6,146.7
04.4.03,2.4,20.2
04.5.01,6,50.5
07.2.02,5.7,47.7
1,18.6,104.5
1.1,3.1,17.5
1.2,3.6,20.4
1.3,7.9,44.3
1.4,1.4,7.7
1.5,2.6,14.7
2,5.4,30.3
2.1,4.3,23.9
2.2,1.1,6.4
