Input1,Input2,Input3,Input4,Input5,Input6,Input7,Output
Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Price/Sales,Price/Book,Price
19.44,0,3.97,77.64,54.29,0.6913859,3.55,64.34
17.48,2.6041667,3.58,72.7,54.75,2.8147783,2,66.76
21.22,2.0215108,1.26,173.24,90.34,2.0468428,5.75,145.99
35.06,0.9426963,2.27,138.54,76.75,8.249042,5.15,111.15
15.82,0,1.69,46.6,30.43,1.4622321,3.74,41.92
12.05,1.3473054,2.81,70.095,52.75,2.1055017,6.91,51.8
13.27,0,3.58,147.17,92.85,5.830071,7.49,91.02
19.12,0,3.23,112.42,65.03,0.5028663,2.58,100.36
19.73,4.2109256,1,30.45,25.51,1.6262617,3.21,25.85
8.35,12.661196,1.16,27.61,13.161,1.4795984,1.39,16.2
27.09,0,1.84,73.86,51.2617,5.5560412,4.62,61.22
-59.46,3.0395136,-1.2,43.98,25.04,3.0044448,2.81,37.46
29.82,0.76878726,1.61,56.25,37.16,7.949615,4.51,48.9
162.92,0,34.08,408.83,308.3,2.1208634,2.27,348.65
4.7,0,-6.44,6.59,2.8,0.40765184,1.84,2.82
27.52,3.885853,4.85,133.88,102.55,1.6489863,1.71,112.3
45.86,0,0.8,499,263,2.5523853,6.11,266.01
17.5,1.9251627,8.2,157.5,130.17,2.0985637,1.35,140.39
24.42,1.8366054,2.92,54.1799,43.21,3.1682448,6.28,47.38
18.11,0.020466639,7.2,227.13,141.93,1.550762,3.39,189.27
26.37,0.30214334,-4.64,136.31,89.49,7.556446,4.28,100.19
27.48,2.918904,3.55,81.98,68.24,2.756679,1.6,70.34
32.75,1.0344827,4.38,169.96,113.79,2.7614057,6.53,149.32
17.87,2.8755577,1.91,42.98,30.36,5.484418,3.07,38.77
13.48,1.7068943,-3.1,80.7,56.14,2.1857586,0.9,71.87
16.04,1.9625335,3.27,48.23,31.51,3.3917346,1.08,42.19
20.37,0,-0.24,95,73.3346,4.7538714,6.73,84.53
32.15,3.6828613,11.94,163,114.8176,14.881806,2.51,153.04
21.42,3.3918407,1.99,50.85,41.07,2.4711676,2.65,41.77
22.8,3.3213644,1.49,48.615,40.22,6.822138,8.65,43.1
22.44,1.0454783,2.54,79.28,54.76,3.9678397,3.94,75.16
24.02,2.2801766,2.28,77.91,66.26,4.000737,236.42,68.95
18.54,1.8929017,4.74,44,34.78,2.1797748,2.65,38.19
18.89,1.2823253,4.13,98.18,64.04,4.905472,1.96,89.18
18.2,2.3683476,1.46,41.68,32.16,1.8294994,3.86,35.49
84.39,0,-11.04,162.91,106.73,12.271951,2.61,140.09
