Input1,Input2,Input3,Input4,Input5,Input6,Input7,Output
Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Price/Sales,Price/Book,Price
15.27,3.6850338,1.43,72.05,56.66,13.762162,1.51,55.58
27.93,0,7.74,543.5518,319.5,8.48541,5.89,322.62
17.9,1.8987342,1,19.9,13,3.474771,1.32,17.9
26.13,2.1362228,1.77,69.4,57.53,2.8841186,2.83,62.72
31.54,1.5120423,2.41,104.78,67.04,6.1640687,6.61,89.26
20.18,1.7075773,2.32,60.59,42.92,1.3330402,5.98,52.26
26.48,1.7692552,6.35,210.72,147.67,3.760594,10.94,178.73
22.29,0.9748892,4.8,139.63,89.9,3.781273,3.46,133.31
27.57,0.61985797,9.38,290.415,191.22,5.9715905,4.23,259.4
26.52,0.82061803,2.83,85.66,52.85,2.9734495,10.28,75.06
16.26,1.8674136,7.53,135.65,93.4,3.1026611,2.56,122.45
27.38,1.0947506,7.95,185.38,124.64,10.254704,50.56,173.31
520.15,0,0.27,114.52,79.63,10.3738785,8.81,104.03
199.81,0,0.62,177.67,103.51,15.189207,91.04,159.85
8.75,6.6830335,4.16,71.28,35.31,1.651705,0.92,35.6
44.93,2.8673835,-1.08,82.71,61.02,3.2297828,2.64,67.4
16.04,1.3761468,5.18,88.87,64.87,4.374079,4.22,86.46
11.51,5.085772,2.58,56.45,30.6,1.3048558,13.33,47.44
21.31,1.4427412,2.46,50.62,41.22,2.4700067,10.55,42.62
19.14,3.1607263,5.45,122.975,100.63,3.15303,1.98,103.36
26.75,0.8426688,18.61,435.15,302.0101,2.5276077,13.42,387.65
6.65,2.4730754,7.03,77.94,46.09,0.7564699,1.38,49.38
13.56,5.0368075,6.25,187.35,150.15,8.754495,13.24,152.18
16.45,1.2629502,5.41,117.65,90.53,6.9704437,4.25,99.04
14.07,3.4998922,0.88,115.34,91.2,6.5820084,1.32,90.61
15.81,1.968433,9.2,185.47,140.83,3.5114813,3.21,156.72
15.78,5.3530226,2.53,53.51,42.63,2.5080602,1.82,43.4
15.89,0.863707,5.82,66.985,49.76,1.6294897,3.84,55.63
20.57,1.5775635,8.05,176.62,121.09,1.944325,3.34,152.86
25.98,2.203452,1.97,64.87,52.58,3.4392443,13.36,53.77
15.35,1.6228749,5.23,114.27,75.27,3.263072,1.95,98.54
16.26,0,2.08,88,61.25,2.2607324,2.15,70.55
23.46,1.2234008,2.68,170,122.01,4.635566,5.54,148.01
16.25,2.3185046,4.48,72.06,51.96,3.3089445,1.38,65.8
39.37,1.1286682,-0.17,34.2,25.65,3.5516493,3.36,25.59
13.35,1.6,2.41,40.59,26.01,2.1096623,1.97,34.98
67.72,0,0.87,94.8,64.75,6.276264,3.98,82.62
22.98,2.4644873,2.08,64.27,48.85,0.7295535,13.4,57
19.92,2.140443,4.75,120.07,66.7,7.3911157,4.61,101.99
,0,2.09,50.71,36.69,4.0785494,4.35,48.85
14.19,3.3856654,4.71,78.7,48.56,0.8047394,3.45,71.11
19.72,1.6062645,4.71,108.23,71.93,2.5734365,3.6,95.27
18.77,1.7060367,0,35,24.53,1.561575,1.06,29.1
24.05,2.4318495,3.6,120.75,74.52,6.9572234,9.32,97.66
22.13,0.1381454,1.14,62.19,45,1.0645695,2.57,55.54
14.76,1.7347307,3.73,58.99,44.91,3.3834257,1.49,53.29
23.44,2.6286967,5.33,150.4,124.09,2.798683,21.62,127.76
22.96,0.026033757,7.52,256.39,187.02,6.8538465,3.57,223.17
20.51,2.6494346,3.66,116.49,98.851,2.8396711,25.64,97.65
23.66,0.3960396,0.85,34.36,19.23,1.8161958,0.94,24.13
16.48,2.0261714,7.31,150.55,113.76,1.33382,1.63,135.01
17.78,1.6036655,5.7,116.1,96.2,3.9635563,3.82,101.35
21.84,0.3276319,5.6,226.44,151.69,4.015666,3.38,198.73
27,1.9402406,3.55,111.44,77.93,4.516748,3.97,99.62
15.35,1.6927768,6.62,103.9,85.88,2.3735986,2.73,93.02
21.01,1.64042,3.46,81.46,66.44,1.9293598,10.35,74.36
17.02,0.7204611,4.5,93.595,73.53,3.1079664,1.88,80.52
25.85,0.6091133,3.16,89.92,50.96,3.175548,6.57,81.17
19.57,1.6030874,3.3,82.68,49.87,1.1642125,6.01,65.94
23.76,0,7.92,321.38,203.72,4.268832,,283
58.04,0,0.81,53.29,29.5,4.5925775,3.49,40.05
17.81,0.9983361,1.59,39.135,24.81,2.1080317,4.11,34.56
17.57,1.0084034,1.59,38.56,24.3,3.1654842,4.04,34.09
13.92,1.6353229,4.79,84.65,57.2,0.93730986,2.55,73.92
15.35,2.189781,3.52,58.5,49.535,3.7773547,2.09,52.65
17.79,3.668639,1.08,40.71,33.31,12.365829,3.27,32.92
32.07,0,6.52,314.86,187.96,3.3779113,8.04,209.09
32.05,0,0.45,23.46,11.4,1.602308,2.72,13.14
29.15,0,0.45,21.805,10.36,1.4738787,2.5,11.95
22.06,2.062655,13.52,143.05,101.06,4.8605075,,124.86
8.85,0,7.05,83.04,56.51,0.5020496,2.09,63.37
21.47,1.3284917,10.71,250.79,156.49,1.0903316,4.71,216.46
18.27,2.9666696,5.62,135.53,102.12,1.4744618,64.7,109.28
16.33,0,15.72,189,100.621,2.1782618,4.53,161.99
19.26,2.1216943,5.7,139.24,107.05,1.7324123,3.4,127.48
15.36,0.34153005,7.14,129.74,95.26,1.3158662,2.21,114.87
11.51,1.8189007,4.38,58.73,43.55,0.9984924,1.19,47.87
25.9,2.2865665,2.55,82.95,48.05,3.7110944,7.89,78.75
18.74,3.5618877,9.24,99.95,60.69,0.4211918,1.93,86.77
29.93,0,2.69,130.29,77.73,3.9652252,7.32,112.82
12.21,5.965641,1.86,72.36,51.8,7.0740495,1.76,50.92
29.5,0,3.43,118.28,81.17,12.401829,10.82,105.62
28.84,0,3.45,100.54,75.6,9.935474,9.34,92.28
13.08,4.626544,7.36,54.77,42.8,1.6452544,7.96,49.04
252.67,0,1.04,174.955,84.39,16.185404,21.91,151.6
8.68,2.622091,4.68,46.72,22.13,1.0924768,2.08,32.71
32.72,0.70204765,2.8,126.88,84.88,14.433654,9.4,113.86
16.22,3.744428,4.33,111.72,66.0101,7.1491003,3.63,66.18
40.9,0.7797879,3.1,141.2,108.95,5.7576876,3.54,121.47
23.1,1.983471,4.39,109.98,66.89,0.82099426,3.89,100.02
13.38,2.2368238,3.78,88,63.82,0.5904388,3.06,68.22
25.36,2.0800195,2.66,89.73,69.55,3.2787669,6.73,79.12
26.64,0,0.19,220.2,145.94,6.9824114,6.15,191.79
19.57,3.691948,3.79,70.09,56.63,2.4834197,2.1,59.5
13.58,2.7111576,4.07,66.31,49.27,2.8728192,1.58,55.4
12.74,6.1538463,2.81,78.17,55.29,6.725218,1.49,54.67
10.19,2.389201,1.29,95.77,71.38,1.245503,2,80.09
10.17,3.5915854,0.51,22.21,18.39,2.22677,12.65,18.81
23.26,2.6699784,2.77,71.55,49.23,1.075785,1.58,60.93
34.29,3.7079954,0.77,37.89,30.9504,3.6396794,2.9,33.6
11.77,2.5652986,4.51,202.99,158.8,0.58064795,2.57,164.95
48.41,4,-0.57,33.67,26.8188,4.2982845,3.01,28.56
18.67,1.347058,3.07,165,120.869,3.4484663,2.1,152.36
18.77,1.9541779,5.53,127.96,80.11,2.7332082,18.91,113.56
31.7,1.1279043,7.27,203.63,92.67,2.478658,51.69,169.28
18.14,3.3914273,2.21,52.22,41.16,2.520456,1.94,42.44
8.87,3.207184,0.59,37.42,26.64,0.7877656,1.49,29.8
27.19,2.0904882,2.32,77.26,54.99,7.101206,7.22,62.82
-19.93,2.0952382,-2.24,47.27,33.77,0.84394187,0.97,41.26
30.94,1.1700794,1.83,76.81,46.86,2.7262094,5.31,70.24
27.25,1.7970798,4.07,86.93,62.85,6.3136363,212.08,76.3
14.32,0.7948336,9.01,133.49,108.17,3.1648953,2.39,115.53
17.73,1.480933,2.6,55.61,38.43,3.7945793,1.42,50.71
32.8,0.68237203,1.65,80.13,52,9.280896,18.09,71.51
