Input1,Input2,Input3,Output
329,685,3099,1973.03
375,678,2842,1974.03
457,675,2871,1975.03
536,725,2960,1976.03
642,822,3106,1977.03
830,918,3290,1978.03
949,885,3427,1979.03
1171,4,3633,1980.03
1392,5,1683,1981.03
1586,6,1745,1982.03
1871,8,1846,1983.03
2095,8,2014,1984.03
2307,10,2228,1985.03
2702,13,2415,1986.03
3075,9,2497,1987.03
3397,10,2603,1988.03
3559,11,2507,1989.03
3667,11,2743,1990.03
3938,15,3054,1991.03
4108,19,3167,1992.03
4125,35,3009,1993.03
4178,44,3088,1994.03
4321,46,3161,1995.03
4261,34,3271,1996.03
4140,46,3502,1997.03
4586,39,3554,1998.03
4138,45,4068,1999.03
2878,37,4315,2000.03
2920,49,4531,2001.03
2972,90,37385,2002.03
3164,84,41523,2003.03
3454,68,44617,2004.03
3676,47,48454,2005.03
4258,33,49358,2006.03
4844,48,52208,2007.03
5033,53,54955,2008.03
5222,46,56384,2009.03
5332,43,59134,2010.03
5909,55,65744,2011.03
6570,71,63022,2012.03
6528,74,65094,2013.03
6552,55,69195,2014.03
6939,48,71618,2015.03
6922,64,71266,2016.03
7090,30,79809,2017.03
7935,49,80836,2018.03
6791,31,83854,1972.03
8135,54,90212,1973.03
9577,52,97746,1974.03
11220,46,1940,1975.03
13700,64,1689,1976.03
16982,59,1509,1977.03
18707,60,1522,1978.03
20758,69,1924,1979.03
24993,152,2191,1980.03
28899,195,2176,1981.03
35473,179,2549,1982.03
40043,255,2444,1983.03
43885,365,2919,1984.03
52406,379,2750,1985.03
60173,432,2905,1986.03
67379,450,3259,1987.03
72921,431,3529,1988.03
75526,469,3393,1989.03
79830,577,3997,1990.03
80029,653,4342,1991.03
80794,674,4231,1992.03
86479,531,3839,1993.03
93459,615,4240,1994.03
99350,697,973,1995.03
103981,622,981,1996.03
108313,654,962,1997.03
110937,711,1107,1998.03
112922,950,1230,1999.03
122999,739,1444,2000.03
137293,565,1298,2001.03
145244,531,1685,2002.03
149909,553,1673,2003.03
155151,730,1754,2004.03
167757,1248,1880,2005.03
179318,1552,1785,2006.03
186829,1170,1935,2007.03
205638,1415,1889,2008.03
209490,1282,2071,2009.03
202044,1384,2217,2010.03
212673,1424,2674,2011.03
223632,1829,2339,2012.03
228783,1941,2560,2013.03
243200,2726,2753,2014.03
247212,2484,23194,2015.03
250813,2279,26469,2016.03
268684,3552,28669,2017.03
289592,3272,31409,2018.03
660,3229,33700,1972.03
883,3675,35157,1973.03
920,3397,38002,1974.03
690,3117,39218,1975.03
954,3097,40950,1976.03
1260,3324,45326,1977.03
1214,3212,43628,1978.03
1288,3109,43938,1979.03
1935,56,46366,1980.03
1943,70,46221,1981.03
2020,69,48800,1982.03
1916,76,55327,1983.03
2223,79,56514,1984.03
2787,89,59298,1985.03
2709,108,63453,1986.03
2633,97,69450,1987.03
3261,126,11314,1988.03
3593,166,12408,1989.03
3962,221,13475,1990.03
3431,211,14402,1991.03
3993,227,12483,1992.03
3743,261,13380,1993.03
4291,276,13465,1994.03
4161,413,12919,1995.03
4366,459,14051,1996.03
4612,440,15732,1997.03
4548,336,14888,1998.03
4557,394,16402,1999.03
5165,298,17526,2000.03
7124,276,19532,2001.03
8048,496,16578,2002.03
5750,547,18052,2003.03
6251,627,17115,2004.03
6218,609,17649,2005.03
5344,608,20017,2006.03
6182,598,20951,2007.03
8969,672,-37,2008.03
7134,650,-24,2009.03
8654,669,4,2010.03
10643,759,14,2011.03
10622,1012,20,2012.03
9130,1364,37,2013.03
13111,1344,14,2014.03
8239,1569,13,2015.03
7691,1509,16,2016.03
11108,1485,13,2017.03
12431,997,-123,2018.03
45,801,63,1972.03
56,1219,109,1973.03
69,1370,448,1974.03
59,1428,425,1975.03
64,1442,217,1976.03
93,1837,190,1977.03
104,1886,338,1978.03
123,2723,344,1979.03
173,52,352,1980.03
191,62,1611,1981.03
188,71,1978,1982.03
160,80,2388,1983.03
176,82,2839,1984.03
257,83,3172,1985.03
342,82,3688,1986.03
385,108,3971,1987.03
274,175,3683,1988.03
461,181,3294,1989.03
511,237,3136,1990.03
598,267,4049,1991.03
700,331,5828,1992.03
843,570,4955,1993.03
1134,514,5641,1994.03
961,428,5630,1995.03
991,602,6381,1996.03
987,573,6915,1997.03
927,262,7768,1998.03
864,419,8242,1999.03
883,259,9562,2000.03
1007,406,1368,2001.03
973,515,1537,2002.03
991,570,1742,2003.03
811,690,1943,2004.03
803,571,1870,2005.03
809,626,2008,2006.03
1004,231,1981,2007.03
901,555,2083,2008.03
896,613,2116,2009.03
1127,571,2193,2010.03
1336,702,2329,2011.03
1135,813,2176,2012.03
1220,761,2421,2013.03
1439,1072,2557,2014.03
1294,740,2813,2015.03
1560,945,2908,2016.03
1700,759,2930,2017.03
1910,803,3024,2018.03
77,822,3270,1972.03
98,904,3480,1973.03
106,931,3776,1974.03
84,944,3992,1975.03
112,997,4328,1976.03
153,1187,4538,1977.03
161,1117,4569,1978.03
177,1444,4818,1979.03
255,39,4971,1980.03
265,47,5106,1981.03
291,55,5304,1982.03
305,63,5659,1983.03
350,62,5915,1984.03
430,65,6100,1985.03
472,64,6501,1986.03
430,84,986,1987.03
441,127,1122,1988.03
512,136,1299,1989.03
550,176,1467,1990.03
529,185,1357,1991.03
540,230,1473,1992.03
675,362,1464,1993.03
771,407,1541,1994.03
774,421,1570,1995.03
851,248,1646,1996.03
909,477,1734,1997.03
895,413,1593,1998.03
932,485,1782,1999.03
1058,323,1891,2000.03
1160,333,2108,2001.03
1252,461,2177,2002.03
1171,511,2173,2003.03
1216,518,2197,2004.03
1272,528,2349,2005.03
1208,492,2553,2006.03
1387,639,2775,2007.03
1458,503,2876,2008.03
1465,615,3115,2009.03
1392,602,3230,2010.03
1417,723,3277,2011.03
1631,863,3401,2012.03
1650,876,3498,2013.03
1824,1022,3605,2014.03
2058,1076,3775,2015.03
2166,1084,4074,2016.03
2253,926,4225,2017.03
2470,932,4360,2018.03
49,850,4636,1972.03
55,978,382,1973.03
52,899,415,1974.03
72,1074,443,1975.03
91,999,476,1976.03
164,1022,513,1977.03
231,1077,536,1978.03
203,1231,516,1979.03
176,22,542,1980.03
236,28,546,1981.03
309,35,547,1982.03
433,39,595,1983.03
447,37,584,1984.03
573,41,640,1985.03
794,41,666,1986.03
792,50,704,1987.03
915,70,731,1988.03
879,74,758,1989.03
892,97,827,1990.03
1217,102,921,1991.03
1125,129,927,1992.03
1192,190,1000,1993.03
1163,229,1116,1994.03
1098,305,1213,1995.03
1079,415,1308,1996.03
1249,176,1292,1997.03
1249,185,1417,1998.03
1141,260,1473,1999.03
1197,149,1500,2000.03
1382,235,1529,2001.03
1423,210,1585,2002.03
1477,262,1690,2003.03
1324,179,1740,2004.03
1533,506,1865,2005.03
1800,317,159,2006.03
2051,453,172,2007.03
3791,364,192,2008.03
4238,413,209,2009.03
4132,532,213,2010.03
4185,560,216,2011.03
4006,607,229,2012.03
3741,669,237,2013.03
3579,751,259,2014.03
3584,683,275,2015.03
2378,766,295,2016.03
2484,507,303,2017.03
2883,481,307,2018.03
491,532,350,1972.03
503,734,365,1973.03
490,485,391,1974.03
638,385,433,1975.03
696,576,475,1976.03
873,846,491,1977.03
857,649,515,1978.03
1100,690,3015,1979.03
1115,217,3502,1980.03
1449,255,4309,1981.03
1714,277,4670,1982.03
2133,346,5303,1983.03
2430,437,5533,1984.03
2732,408,5339,1985.03
2670,506,5405,1986.03
3381,597,5597,1987.03
3681,433,6282,1988.03
3991,483,6752,1989.03
4172,831,7116,1990.03
4358,782,7217,1991.03
4555,722,7238,1992.03
4491,812,7283,1993.03
4677,1379,7408,1994.03
4974,1036,7857,1995.03
5052,1023,8405,1996.03
5064,760,8985,1997.03
5367,1271,9570,1998.03
5644,932,10040,1999.03
5671,815,10652,2000.03
6105,1026,10565,2001.03
6359,1024,9717,2002.03
6820,1165,10740,2003.03
6768,1499,11279,2004.03
7222,1443,11726,2005.03
7757,1637,12207,2006.03
7856,1649,12682,2007.03
6938,1744,13076,2008.03
9468,1735,13779,2009.03
6919,2125,14585,2010.03
7270,2661,15461,2011.03
8519,2624,21834,2012.03
8208,2797,24640,2013.03
8513,3353,26705,2014.03
10506,3572,28830,2015.03
11176,4424,31773,2016.03
9099,4155,33041,2017.03
10602,4323,35311,2018.03
188,4708,37044,1972.03
199,4708,38047,1973.03
231,4119,41662,1974.03
243,4334,41010,1975.03
260,5313,41029,1976.03
314,5928,42666,1977.03
411,5491,42570,1978.03
432,6295,45344,1979.03
553,45,48658,1980.03
599,52,52745,1981.03
763,70,54811,1982.03
815,92,55537,1983.03
773,119,60819,1984.03
828,109,18958,1985.03
930,116,21994,1986.03
974,125,24232,1987.03
914,108,26187,1988.03
812,153,28598,1989.03
890,197,29370,1990.03
850,256,31823,1991.03
848,388,32797,1992.03
850,478,33914,1993.03
912,676,36976,1994.03
957,867,36503,1995.03
999,769,36276,1996.03
1056,955,37363,1997.03
944,1068,36705,1998.03
1010,1083,39455,1999.03
967,923,42227,2000.03
862,768,45539,2001.03
863,674,47904,2002.03
916,770,48796,2003.03
885,1629,53475,2004.03
886,1545,0,2005.03
831,1617,0,2006.03
712,1636,0,2007.03
717,1711,0,2008.03
705,2553,0,2009.03
727,1533,0,2010.03
674,1587,0,2011.03
606,1413,0,2012.03
647,1724,0,2013.03
624,1801,0,2014.03
657,1637,0,2015.03
670,1823,0,2016.03
729,1927,0,2017.03
674,1801,0,2018.03
160,1840,0,1972.03
178,2080,0,1973.03
213,2041,0,1974.03
251,2395,0,1975.03
265,2575,0,1976.03
321,2130,0,1977.03
333,2426,1403,1978.03
379,2802,1787,1979.03
471,42,2198,1980.03
556,50,2597,1981.03
683,64,2919,1982.03
699,80,3462,1983.03
771,169,3710,1984.03
986,96,3404,1985.03
1089,117,2994,1986.03
1085,133,2851,1987.03
1249,146,3809,1988.03
1255,171,5600,1989.03
1416,221,4706,1990.03
1449,196,5401,1991.03
1455,419,5358,1992.03
1459,615,6051,1993.03
1526,865,6557,1994.03
1819,556,7439,1995.03
2012,951,7897,1996.03
1883,613,9193,1997.03
1804,322,15550,1998.03
1607,301,16883,1999.03
1934,370,17912,2000.03
2319,457,19624,2001.03
2103,484,17585,2002.03
2220,757,19167,2003.03
2108,391,19644,2004.03
2257,551,19341,2005.03
2261,764,21087,2006.03
2177,628,24082,2007.03
2314,713,22012,2008.03
1764,684,24065,2009.03
1949,879,26529,2010.03
2161,895,29048,2011.03
2049,952,25922,2012.03
1753,750,31151,2013.03
1852,841,28090,2014.03
1838,981,29043,2015.03
2105,1211,34675,2016.03
2162,2186,36927,2017.03
2288,1803,4236,2018.03
47,1299,4475,1972.03
51,1905,4437,1973.03
60,1710,5221,1974.03
73,1883,5102,1975.03
80,991,5787,1976.03
99,2041,6179,1977.03
112,2758,6422,1978.03
117,4852,7036,1979.03
146,143,8350,1980.03
169,185,7125,1981.03
203,247,7662,1982.03
227,340,9003,1983.03
240,325,9516,1984.03
318,396,9345,1985.03
346,378,13099,1986.03
441,384,10975,1987.03
479,368,11394,1988.03
507,386,14657,1989.03
534,503,15975,1990.03
529,576,11314,1991.03
528,634,12408,1992.03
529,896,13475,1993.03
575,1284,14402,1994.03
629,1822,12483,1995.03
677,2521,13380,1996.03
687,2870,13465,1997.03
695,2563,12919,1998.03
687,2334,14051,1999.03
718,1320,15732,2000.03
709,1592,14888,2001.03
719,1926,16402,2002.03
725,2754,17526,2003.03
760,3373,19532,2004.03
824,2662,16578,2005.03
839,2649,18052,2006.03
795,2424,17115,2007.03
794,3039,17649,2008.03
701,2801,20017,2009.03
691,3561,20951,2010.03
717,3534,208,2011.03
644,4658,191,2012.03
700,6022,189,2013.03
689,6346,243,2014.03
693,5517,253,2015.03
654,4495,226,2016.03
715,4294,261,2017.03
681,3711,279,2018.03
341,4243,300,1972.03
401,3594,285,1973.03
493,5886,240,1974.03
550,6572,229,1975.03
506,8628,248,1976.03
751,8192,239,1977.03
888,10592,272,1978.03
1050,8696,330,1979.03
1215,211,358,1980.03
1370,289,328,1981.03
1713,399,345,1982.03
2137,459,369,1983.03
2395,487,-1430,1984.03
2580,585,-567,1985.03
2567,454,-3563,1986.03
2627,488,-4670,1987.03
2486,505,-4107,1988.03
2786,625,-2551,1989.03
2801,877,-444,1990.03
2603,946,2361,1991.03
2552,1118,664,1992.03
2722,1342,-226,1993.03
3080,1535,476,1994.03
3552,1829,-4512,1995.03
3227,2083,-4668,1996.03
3028,2187,-3300,1997.03
3053,2576,-1513,1998.03
2778,2630,-3748,1999.03
2908,2327,-2088,2000.03
3057,2498,-2626,2001.03
3444,3098,-2356,2002.03
3854,3760,-3227,2003.03
3718,4046,-61,2004.03
3958,4476,964,2005.03
4263,4560,1519,2006.03
3608,3949,1807,2007.03
3945,4525,2010,2008.03
3265,3952,1208,2009.03
3274,4162,1939,2010.03
3561,5391,1884,2011.03
3903,6664,2372,2012.03
4266,7473,2157,2013.03
4190,7601,2104,2014.03
4627,7879,2028,2015.03
5239,8221,1875,2016.03
5087,6734,1959,2017.03
5452,5648,2629,2018.03
67,6222,4268,1972.03
78,6175,4850,1973.03
89,7886,3039,1974.03
96,9723,3427,1975.03
113,10687,3198,1976.03
123,12216,2311,1977.03
164,14000,2957,1978.03
171,15056,5312,1979.03
192,43,2288,1980.03
222,47,3622,1981.03
329,55,5605,1982.03
365,65,5789,1983.03
388,74,4097,1984.03
393,76,8315,1985.03
391,91,2736,1986.03
408,120,2309,1987.03
395,135,5621,1988.03
418,164,6587,1989.03
408,201,6628,1990.03
417,209,4248,1991.03
377,326,4985,1992.03
417,430,5423,1993.03
493,574,5945,1994.03
578,572,5995,1995.03
609,540,5957,1996.03
601,470,5776,1997.03
609,504,6363,1998.03
574,562,7288,1999.03
643,562,8195,2000.03
589,549,8207,2001.03
607,724,8770,2002.03
724,737,9299,2003.03
784,862,10422,2004.03
886,898,9674,2005.03
960,1112,10244,2006.03
957,1007,10855,2007.03
1063,1238,12199,2008.03
988,1227,12604,2009.03
859,1390,13001,2010.03
868,1509,14410,2011.03
827,1442,15371,2012.03
906,1416,14650,2013.03
1064,1653,14953,2014.03
1095,1796,15655,2015.03
1113,2074,17032,2016.03
1137,1685,16529,2017.03
1210,1920,16947,2018.03
162,1887,19563,1972.03
188,1841,20876,1973.03
241,1873,22725,1974.03
290,2272,23895,1975.03
272,2371,24649,1976.03
393,2695,18466,1977.03
451,2732,18734,1978.03
469,3405,20058,1979.03
570,9,22165,1980.03
617,10,25849,1981.03
838,12,25773,1982.03
981,14,24927,1983.03
1039,17,23844,1984.03
1158,17,22023,1985.03
1211,19,21921,1986.03
1324,21,22194,1987.03
1221,23,29130,1988.03
1246,27,27623,1989.03
1451,36,27383,1990.03
1348,35,29940,1991.03
1305,62,34900,1992.03
1548,94,37416,1993.03
1697,116,40390,1994.03
1751,95,42375,1995.03
1865,80,44231,1996.03
1834,73,1131,1997.03
2028,79,1184,1998.03
1943,81,995,1999.03
2031,67,991,2000.03
2003,84,1510,2001.03
2169,136,1373,2002.03
2300,135,1373,2003.03
2550,158,2075,2004.03
2595,303,829,2005.03
2734,153,1784,2006.03
2904,224,2032,2007.03
2922,33,1465,2008.03
2614,260,1910,2009.03
2391,257,2149,2010.03
2454,131,2356,2011.03
2422,244,2884,2012.03
2305,269,2456,2013.03
2509,338,2423,2014.03
2697,470,2319,2015.03
2753,453,3107,2016.03
2996,358,472,2017.03
3044,432,348,2018.03
235,192,756,1972.03
258,296,638,1973.03
321,411,783,1974.03
377,431,788,1975.03
372,381,715,1976.03
468,552,937,1977.03
576,569,933,1978.03
624,539,1059,1979.03
744,15,1109,1980.03
836,18,940,1981.03
1158,12,1100,1982.03
1256,21,1198,1983.03
1291,16,1312,1984.03
1463,25,1414,1985.03
1593,24,1822,1986.03
1799,45,1456,1987.03
1868,61,1661,1988.03
1783,82,1732,1989.03
1781,89,14874,1990.03
1636,94,14978,1991.03
1629,87,16246,1992.03
1649,84,18313,1993.03
1811,128,21380,1994.03
1991,138,21343,1995.03
2129,127,20744,1996.03
2216,149,19184,1997.03
2136,157,18839,1998.03
2126,110,18359,1999.03
2203,104,18186,2000.03
2384,108,24635,2001.03
2736,102,22275,2002.03
2841,101,21153,2003.03
3044,101,23257,2004.03
3202,101,27568,2005.03
3327,95,30128,2006.03
3256,115,32864,2007.03
3676,105,34444,2008.03
3437,125,35276,2009.03
3510,142,1991,2010.03
3766,100,2214,2011.03
3763,78,2029,2012.03
3687,202,2178,2013.03
3769,202,2144,2014.03
4064,303,2172,2015.03
4349,289,2060,2016.03
4592,222,1643,2017.03
4897,332,1372,2018.03
56,335,663,1972.03
61,356,968,1973.03
74,668,1922,1974.03
80,390,2224,1975.03
85,389,2443,1976.03
100,494,2561,1977.03
107,476,2786,1978.03
125,536,2756,1979.03
144,8,3254,1980.03
170,19,3544,1981.03
235,34,3707,1982.03
219,36,-2,1983.03
248,55,9,1984.03
303,42,31,1985.03
361,64,45,1986.03
371,66,32,1987.03
355,98,97,1988.03
347,117,35,1989.03
366,183,6,1990.03
352,199,51,1991.03
323,148,56,1992.03
367,177,-101,1993.03
398,295,168,1994.03
471,453,114,1995.03
465,277,439,1996.03
473,236,455,1997.03
472,430,247,1998.03
493,532,255,1999.03
540,602,393,2000.03
552,494,407,2001.03
552,563,410,2002.03
623,466,65,2003.03
651,565,-2213,2004.03
669,646,2244,2005.03
694,1233,3474,2006.03
629,743,1570,2007.03
642,1271,2488,2008.03
566,631,2732,2009.03
606,997,2789,2010.03
578,872,1556,2011.03
581,1250,4033,2012.03
599,1473,5119,2013.03
619,1300,5081,2014.03
641,1200,7887,2015.03
671,1147,8050,2016.03
778,1083,6741,2017.03
767,1370,7064,2018.03
183,1464,7283,1972.03
198,1368,7631,1973.03
201,1205,6455,1974.03
198,1690,8061,1975.03
238,1852,4825,1976.03
327,1878,7233,1977.03
434,1641,7888,1978.03
498,1936,9095,1979.03
726,66,9217,1980.03
798,80,10030,1981.03
924,92,10000,1982.03
1064,121,10734,1983.03
1192,166,12269,1984.03
1232,173,12717,1985.03
1567,189,14003,1986.03
1876,195,14193,1987.03
1942,197,14560,1988.03
2169,228,15840,1989.03
2315,258,16286,1990.03
2315,273,17362,1991.03
2334,301,18730,1992.03
2384,318,19980,1993.03
2587,396,21926,1994.03
2677,467,23409,1995.03
2635,530,26913,1996.03
2838,555,27517,1997.03
3009,552,27564,1998.03
2928,569,28957,1999.03
3250,588,29529,2000.03
3169,639,32427,2001.03
3287,617,33047,2002.03
3698,814,35793,2003.03
4210,745,37393,2004.03
4361,1029,40030,2005.03
4835,1088,42872,2006.03
4973,1120,44664,2007.03
5374,1215,47264,2008.03
5872,961,3516,2009.03
6069,1130,5714,2010.03
6353,1271,6163,2011.03
6599,1511,7256,2012.03
7153,1534,7260,2013.03
7423,1590,8025,2014.03
7594,1524,7992,2015.03
7671,1595,8587,2016.03
7880,2098,9994,2017.03
8026,2031,10329,2018.03
452,2248,11461,1972.03
535,2006,11572,1973.03
652,1896,11770,1974.03
785,2226,12935,1975.03
935,2386,13303,1976.03
998,2435,14143,1977.03
1017,2471,15494,1978.03
1066,3131,16487,1979.03
1117,40,18199,1980.03
1311,46,19497,1981.03
1698,53,22720,1982.03
1926,63,22999,1983.03
2106,83,22776,1984.03
2402,96,23858,1985.03
2735,100,24402,1986.03
3124,116,27014,1987.03
3267,133,27511,1988.03
3284,142,29944,1989.03
3535,141,31378,1990.03
3126,138,33584,1991.03
2711,149,36098,1992.03
2727,176,37553,1993.03
3039,199,39596,1994.03
3548,239,1308,1995.03
4007,231,1519,1996.03
4408,271,1725,1997.03
4642,257,1840,1998.03
4504,276,1957,1999.03
5179,264,2006,2000.03
5139,271,2008,2001.03
5484,269,2146,2002.03
6053,343,2275,2003.03
6806,437,2388,2004.03
8010,468,2542,2005.03
8709,523,2621,2006.03
9635,559,2790,2007.03
10702,540,2905,2008.03
10406,758,2983,2009.03
10492,796,3219,2010.03
10525,870,3235,2011.03
10886,894,3493,2012.03
11651,953,3727,2013.03
12508,961,3911,2014.03
13943,1466,4194,2015.03
15268,1370,4518,2016.03
16863,1083,4788,2017.03
18540,1117,5099,2018.03
385,1418,5127,1972.03
431,1330,5414,1973.03
535,1156,5536,1974.03
568,1320,5849,1975.03
529,1351,6015,1976.03
634,1382,6446,1977.03
811,1310,6774,1978.03
901,1229,7111,1979.03
906,22,7668,1980.03
1250,25,349,1981.03
1542,29,381,1982.03
1806,35,321,1983.03
2025,45,373,1984.03
1955,37,374,1985.03
2816,37,455,1986.03
4103,37,547,1987.03
3748,44,565,1988.03
4095,56,650,1989.03
3877,66,706,1990.03
4640,71,667,1991.03
3654,85,612,1992.03
3902,103,705,1993.03
4656,133,698,1994.03
5006,177,791,1995.03
5395,280,755,1996.03
5327,239,888,1997.03
5744,338,955,1998.03
6032,280,886,1999.03
6211,284,1016,2000.03
6621,186,39234,2001.03
7433,250,44754,2002.03
7259,286,47651,2003.03
7932,312,49232,2004.03
8248,321,49934,2005.03
8399,375,50362,2006.03
8624,451,50319,2007.03
9642,397,53138,2008.03
9453,473,56798,2009.03
9869,642,60996,2010.03
10081,650,64406,2011.03
10526,639,66752,2012.03
10530,614,68493,2013.03
11592,538,73713,2014.03
12486,546,74122,2015.03
12833,737,78826,2016.03
13055,705,81848,2017.03
14202,882,88942,2018.03
512,1013,95721,1972.03
599,1127,101803,1973.03
747,727,109420,1974.03
783,544,119361,1975.03
851,670,120344,1976.03
990,708,122538,1977.03
938,580,127632,1978.03
1101,803,135088,1979.03
1220,18,137968,1980.03
1489,22,145031,1981.03
1781,26,149443,1982.03
1987,31,157006,1983.03
2287,31,169062,1984.03
2504,32,180183,1985.03
2959,34,188945,1986.03
3171,40,3463,1987.03
3278,53,6208,1988.03
3411,59,3245,1989.03
3470,75,1841,1990.03
3595,78,2704,1991.03
3459,97,4316,1992.03
3702,136,8264,1993.03
3957,157,12889,1994.03
4270,105,12214,1995.03
4496,77,13089,1996.03
4586,98,14220,1997.03
4660,102,3452,1998.03
4744,98,5439,1999.03
5086,67,6357,2000.03
5346,73,7540,2001.03
6130,115,5427,2002.03
6826,145,7688,2003.03
7202,256,5845,2004.03
7395,239,6382,2005.03
7748,155,7722,2006.03
8324,267,10498,2007.03
8446,319,-2716,2008.03
8192,261,-2735,2009.03
8292,265,-3481,2010.03
8469,303,-4065,2011.03
8879,304,-4478,2012.03
9490,349,-5502,2013.03
9987,390,-6009,2014.03
10491,485,-7155,2015.03
11078,564,-7016,2016.03
12325,291,-8194,2017.03
12998,485,-6825,2018.03
130,507,-5760,1972.03
142,460,-7106,1973.03
182,393,-6995,1974.03
182,535,-7585,1975.03
201,482,-8788,1976.03
236,500,-9590,1977.03
307,581,-9666,1978.03
363,545,-11829,1979.03
407,1578,-12780,1980.03
495,1964,-52,1981.03
577,2289,-85,1982.03
640,2814,-88,1983.03
723,3439,-52,1984.03
865,3757,-40,1985.03
1012,3817,-94,1986.03
1035,4177,-122,1987.03
1103,4426,-125,1988.03
1086,5218,-96,1989.03
1145,7245,-129,1990.03
1140,8537,-159,1991.03
1095,9557,-14,1992.03
1215,11014,-19,1993.03
1391,13196,-15,1994.03
1618,13963,16,1995.03
1740,15175,-21,1996.03
1921,14906,-20,1997.03
1932,16055,-20,1998.03
2054,15738,13,1999.03
2086,13416,23,2000.03
2317,13998,-84,2001.03
2521,16519,-111,2002.03
2477,19293,-101,2003.03
2832,21581,-107,2004.03
3148,22591,-85,2005.03
3216,23216,-89,2006.03
3365,21962,-168,2007.03
3649,24769,-184,2008.03
3505,24987,-142,2009.03
3789,27656,-229,2010.03
3857,29655,-186,2011.03
3940,33607,-185,2012.03
4126,37431,-76,2013.03
4370,40320,-90,2014.03
4784,41132,-98,2015.03
5294,44639,-117,2016.03
6031,42952,-109,2017.03
6360,39037,-90,2018.03
380,39992,-10,1972.03
413,42326,-24,1973.03
489,44712,-2598,1974.03
551,49365,-2550,1975.03
603,54111,-3331,1976.03
769,58219,-3901,1977.03
844,61302,-4436,1978.03
958,66826,-5420,1979.03
1090,70959,-5900,1980.03
1199,15,-7032,1981.03
1404,21,-6814,1982.03
1584,23,-7884,1983.03
1893,19,-6808,1984.03
2083,25,-5660,1985.03
2307,34,-7152,1986.03
2781,32,-7010,1987.03
3495,43,-7674,1988.03
3802,57,-8590,1989.03
3984,70,-9503,1990.03
3932,88,-9388,1991.03
3935,87,-11938,1992.03
4087,92,-13019,1993.03
4386,103,44,1994.03
4824,64,45,1995.03
5204,89,69,1996.03
5024,89,55,1997.03
4930,56,40,1998.03
5010,70,64,1999.03
5274,94,133,2000.03
5297,116,108,2001.03
5612,120,103,2002.03
6129,144,107,2003.03
6586,163,78,2004.03
7155,172,55,2005.03
7512,185,93,2006.03
7316,122,126,2007.03
8014,175,140,2008.03
7419,167,10,2009.03
7929,200,26,2010.03
8758,260,27,2011.03
9327,242,52,2012.03
9786,226,90,2013.03
10352,248,-27,2014.03
11419,272,-35,2015.03
12406,286,-31,2016.03
12233,413,-60,2017.03
13012,380,44,2018.03
241,213,36,1972.03
263,218,47,1973.03
297,292,78,1974.03
344,353,-68,1975.03
379,335,-60,1976.03
513,382,250,1977.03
610,375,44,1978.03
706,384,47,1979.03
833,539,-7,1980.03
981,63,31,1981.03
1134,84,-71,1982.03
1371,95,16,1983.03
1520,82,-196,1984.03
1698,107,54,1985.03
1920,139,150,1986.03
2804,137,-732,1987.03
2827,178,-566,1988.03
3089,237,-356,1989.03
3004,288,-552,1990.03
3057,360,-1296,1991.03
3228,363,-2097,1992.03
3273,382,-1854,1993.03
3360,427,-2275,1994.03
3608,269,-2216,1995.03
4081,215,-972,1996.03
4314,184,-197,1997.03
4558,228,1284,1998.03
4542,340,2089,1999.03
4589,358,2316,2000.03
4842,355,996,2001.03
4995,424,2979,2002.03
5458,422,4113,2003.03
5749,417,3522,2004.03
5878,339,4877,2005.03
6035,297,5083,2006.03
5801,396,6493,2007.03
6174,336,5707,2008.03
5704,408,6021,2009.03
5910,604,5133,2010.03
5855,636,4509,2011.03
6130,653,3323,2012.03
6195,520,4399,2013.03
6454,563,5893,2014.03
6576,620,7712,2015.03
6766,458,8686,2016.03
6731,817,8623,2017.03
6777,662,8755,2018.03
202,668,7795,1972.03
249,621,7938,1973.03
291,659,9926,1974.03
338,625,10700,1975.03
370,748,12885,1976.03
459,847,14662,1977.03
559,892,16218,1978.03
655,931,19159,1979.03
753,1048,19926,1980.03
914,23,21507,1981.03
1142,33,18821,1982.03
1310,37,12275,1983.03
1609,30,12281,1984.03
1821,39,11649,1985.03
2322,53,13848,1986.03
3026,51,15897,1987.03
3514,68,17855,1988.03
3503,91,17881,1989.03
3507,110,20761,1990.03
3966,139,23497,1991.03
3776,137,23889,1992.03
3838,145,6166,1993.03
3812,163,5420,1994.03
4083,101,5720,1995.03
3865,82,4846,1996.03
4096,85,4213,1997.03
4401,184,3038,1998.03
4503,245,4101,1999.03
4956,163,5629,2000.03
5390,251,7411,2001.03
5906,258,8411,2002.03
6430,281,8350,2003.03
7289,277,8441,2004.03
7803,296,7461,2005.03
7941,227,7580,2006.03
8058,207,9578,2007.03
8328,185,10308,2008.03
9353,193,12446,2009.03
11257,277,14168,2010.03
10262,380,15686,2011.03
11011,365,18576,2012.03
11286,340,19257,2013.03
12666,366,20765,2014.03
14017,463,18204,2015.03
14467,628,11623,2016.03
14968,1491,11575,2017.03
16973,1219,11023,2018.03
241,815,13264,1972.03
271,820,15363,1973.03
321,689,17347,1974.03
380,832,17301,1975.03
444,760,20121,1976.03
495,815,22816,1977.03
541,705,23238,1978.03
598,395,328,1979.03
655,532,287,1980.03
719,10,301,1981.03
909,14,287,1982.03
1035,16,296,1983.03
1220,14,286,1984.03
1465,18,298,1985.03
