Input1,Input2,Input3,Output
303436,42403,233,2019.03
6935,1038,269,1972.03
7840,1289,3015,1973.03
9347,1574,3502,1974.03
11447,1832,4309,1975.03
12294,2066,4670,1976.03
14332,2396,5303,1977.03
15918,2221,5533,1978.03
17678,2453,5339,1979.03
20867,2822,5405,1980.03
24249,3381,5597,1981.03
29916,4760,6282,1982.03
34412,5289,6752,1983.03
37688,5934,7116,1984.03
43322,7697,7217,1985.03
49810,8720,7238,1986.03
57661,9477,7283,1987.03
63706,11012,7408,1988.03
67835,10705,7857,1989.03
74099,11828,8405,1990.03
75470,11343,8985,1991.03
73185,9917,9570,1992.03
75842,10954,10040,1993.03
81371,13660,10652,1994.03
87853,16072,10565,1995.03
94433,17891,9717,1996.03
99502,18387,10740,1997.03
103354,17964,11279,1998.03
105396,16718,11726,1999.03
112662,19025,12207,2000.03
116275,20239,12682,2001.03
124042,20592,13076,2002.03
131075,22124,13779,2003.03
141952,25627,14585,2004.03
154116,28848,15461,2005.03
165298,30030,1070,2006.03
172776,31497,1176,2007.03
186626,34459,1286,2008.03
190108,31215,1390,2009.03
189770,26298,1483,2010.03
198814,26904,1565,2011.03
210001,29454,1647,2012.03
216027,32794,1714,2013.03
228971,36015,1759,2014.03
240110,40064,1838,2015.03
251858,43450,1925,2016.03
268032,46413,2032,2017.03
285876,50695,2255,2018.03
300933,53928,2374,2019.03
6011,202,2626,1972.03
6874,286,2726,1973.03
8043,289,2750,1974.03
8693,466,2798,1975.03
9352,712,3001,1976.03
11380,679,3272,1977.03
12631,810,3555,1978.03
14268,849,3737,1979.03
16821,652,4060,1980.03
19734,741,4274,1981.03
24088,1204,4375,1982.03
26955,1811,4526,1983.03
29923,2154,4663,1984.03
33299,1788,4788,1985.03
37956,2608,5039,1986.03
46470,2220,5392,1987.03
52482,1993,5615,1988.03
57397,1706,5865,1989.03
60654,1670,6180,1990.03
61880,1846,765,1991.03
59283,855,844,1992.03
61199,625,933,1993.03
66216,377,1013,1994.03
71640,425,1083,1995.03
76608,384,1161,1996.03
79906,407,1236,1997.03
84126,402,1300,1998.03
86558,-28,1338,1999.03
90752,225,1408,2000.03
95936,570,1487,2001.03
103896,1303,1589,2002.03
109576,953,1787,2003.03
118203,1225,1891,2004.03
125082,1287,2103,2005.03
129899,2286,2165,2006.03
136401,1591,2162,2007.03
148166,1823,2185,2008.03
148098,2173,2334,2009.03
156976,2337,2539,2010.03
163231,2860,2758,2011.03
173000,3100,2859,2012.03
177059,1783,3097,2013.03
191132,2002,3233,2014.03
198600,2094,3288,2015.03
209716,2122,3397,2016.03
223468,2422,3492,2017.03
237932,2036,3571,2018.03
250170,2356,3763,2019.03
6855,78,4042,1972.03
7872,76,4190,1973.03
9201,89,4358,1974.03
10110,107,4584,1975.03
11388,138,305,1976.03
13964,161,332,1977.03
15643,196,353,1978.03
17730,204,377,1979.03
20696,208,400,1980.03
24086,232,405,1981.03
29328,261,410,1982.03
33178,350,414,1983.03
36989,360,421,1984.03
41785,337,430,1985.03
48249,389,438,1986.03
57953,461,443,1987.03
65228,410,468,1988.03
70137,510,483,1989.03
74212,433,524,1990.03
76127,432,561,1991.03
75967,352,588,1992.03
78335,226,613,1993.03
84575,286,667,1994.03
90600,338,733,1995.03
96236,545,797,1996.03
101101,621,878,1997.03
104815,672,963,1998.03
106826,1315,1042,1999.03
113229,917,1087,2000.03
119839,180,1129,2001.03
128712,805,1171,2002.03
135181,1711,1217,2003.03
144502,999,1276,2004.03
154559,1194,1350,2005.03
162937,1467,1425,2006.03
172112,1170,1507,2007.03
186852,1225,1596,2008.03
189632,1305,159,2009.03
194282,1760,172,2010.03
203483,1684,192,2011.03
213302,1870,209,2012.03
217540,1873,213,2013.03
232719,2019,216,2014.03
242198,1894,229,2015.03
254484,2222,239,2016.03
270388,2472,259,2017.03
289104,2378,275,2018.03
303436,2300,295,2019.03
0,1318,303,1972.03
0,1651,307,1973.03
0,1952,350,1974.03
0,2406,365,1975.03
0,2916,391,1976.03
0,3236,433,1977.03
0,3227,475,1978.03
0,3506,491,1979.03
0,3682,515,1980.03
0,4353,501,1981.03
0,6225,21834,1982.03
0,7451,24640,1983.03
0,8448,26705,1984.03
0,9822,28830,1985.03
0,11717,31773,1986.03
1501,12158,33041,1987.03
3381,13415,35311,1988.03
3522,12921,37044,1989.03
4459,13931,38047,1990.03
4812,13620,41662,1991.03
4775,11123,41010,1992.03
4899,11805,41029,1993.03
5257,14324,42666,1994.03
5797,16835,42570,1995.03
6203,18819,45344,1996.03
